device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,VectorAdd,ONE_D,131072,1,1,1,0.5,4.964,1.115,0.011,3.123,0.682,0.074
Hawaii,VectorAdd,ONE_D,131072,2,1,1,0.5,4.956,0.697,0.002,1.32,0.519,0.054
Hawaii,VectorAdd,ONE_D,131072,4,1,1,0.5,8.273,0.697,0.003,1.055,0.519,0.055
Hawaii,VectorAdd,ONE_D,131072,8,1,1,0.5,4.952,0.708,0.002,0.8,0.52,0.056
Hawaii,VectorAdd,ONE_D,131072,16,1,1,0.5,7.444,0.736,0.002,0.648,0.501,0.072
Hawaii,VectorAdd,ONE_D,131072,32,1,1,0.5,8.278,0.699,0.002,0.61,0.52,0.08
Hawaii,VectorAdd,ONE_D,131072,64,1,1,0.5,8.808,0.742,0.002,0.57,0.524,0.084
Hawaii,VectorAdd,ONE_D,131072,128,1,1,0.5,9.296,0.703,0.003,0.594,0.536,0.086
Hawaii,VectorAdd,ONE_D,131072,256,1,1,0.5,9.277,0.725,0.003,0.621,0.571,0.054
Hawaii,VectorAdd,ONE_D,131072,1,1,1,0.5,5.122,1.094,0.002,2.212,0.784,0.07
Hawaii,VectorAdd,ONE_D,131072,2,1,1,0.5,4.961,0.7,0.003,1.332,0.519,0.055
Hawaii,VectorAdd,ONE_D,131072,4,1,1,0.5,8.503,0.661,0.002,0.964,0.465,0.064
Hawaii,VectorAdd,ONE_D,131072,8,1,1,0.5,4.952,0.66,0.001,0.802,0.479,0.047
Hawaii,VectorAdd,ONE_D,131072,16,1,1,0.5,6.907,0.659,0.002,0.625,0.477,0.063
Hawaii,VectorAdd,ONE_D,131072,32,1,1,0.5,7.476,0.69,0.001,0.526,0.461,0.06
Hawaii,VectorAdd,ONE_D,131072,64,1,1,0.5,7.807,0.663,0.001,0.52,0.493,0.063
Hawaii,VectorAdd,ONE_D,131072,128,1,1,0.5,8.168,0.687,0.002,0.523,0.48,0.065
Hawaii,VectorAdd,ONE_D,131072,256,1,1,0.5,8.614,0.668,0.001,0.515,0.477,0.071
Hawaii,VectorAdd,ONE_D,131072,1,1,1,0.5,4.97,0.99,0.006,2.011,0.21,0.05
Hawaii,VectorAdd,ONE_D,131072,2,1,1,0.5,4.978,0.458,0.002,1.157,0.277,0.037
Hawaii,VectorAdd,ONE_D,131072,4,1,1,0.5,4.964,0.448,0.002,0.788,0.281,0.036
Hawaii,VectorAdd,ONE_D,131072,8,1,1,0.5,4.953,0.451,0.002,0.592,0.279,0.036
Hawaii,VectorAdd,ONE_D,131072,16,1,1,0.5,4.964,0.448,0.001,0.402,0.277,0.036
Hawaii,VectorAdd,ONE_D,131072,32,1,1,0.5,4.952,0.448,0.001,0.314,0.278,0.034
Hawaii,VectorAdd,ONE_D,131072,64,1,1,0.5,4.961,0.455,0.001,0.274,0.274,0.033
Hawaii,VectorAdd,ONE_D,131072,128,1,1,0.5,4.963,0.453,0.001,0.44,0.38,0.054
Hawaii,VectorAdd,ONE_D,131072,256,1,1,0.5,4.952,0.534,0.003,0.419,0.375,0.052
