device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,1,1,8,83.085,2.702,0.001,22.364,2.827,0.269
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,1,2,8,72.128,2.753,0.002,16.118,2.556,0.248
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,1,4,8,69.772,2.731,0.002,10.49,2.374,0.264
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,1,8,8,70.175,2.728,0.001,6.262,2.274,0.297
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,1,16,8,69.77,2.759,0.001,9.121,2.482,0.312
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,1,32,8,70.987,2.698,0.002,9.617,2.217,0.278
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,1,64,8,71.377,2.76,0.002,9.731,2.506,0.283
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,1,128,8,69.801,2.711,0.001,9.227,2.483,0.298
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,1,256,8,70.092,2.711,0.001,-1,-1,-1
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,1,512,8,71.156,4.38,0.001,-1,-1,-1
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,1,1024,8,72.1,4.19,0.002,-1,-1,-1
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,2,1,8,72.09,4.778,0.002,18.396,2.334,0.248
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,2,2,8,70.382,4.886,0.002,8.649,2.553,0.278
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,2,4,8,70.332,2.672,0.002,7.003,4.534,0.27
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,2,8,8,74.082,4.661,0.002,5.481,2.468,0.263
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,2,16,8,70.95,4.906,0.001,9.185,2.414,0.268
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,2,32,8,70.519,3.728,0.001,9.936,2.354,0.281
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,128,1,2,64,8,70.887,2.753,0.001,9.231,2.166,0.286
