device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,1,1,1,64,340.857,81.254,0.005,8042.35,23.773,1.22
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,2,1,1,64,335.277,83,0.005,7954.21,23.799,1.229
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,4,1,1,64,336.133,84.187,0.004,7916.36,24.096,1.216
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,8,1,1,64,336.887,82.954,0.005,7901.43,23.873,1.26
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,16,1,1,64,335.599,85.519,0.003,7891.61,23.944,1.232
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,32,1,1,64,335.584,81.355,0.004,7888.98,23.915,1.246
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,64,1,1,64,338.766,84.424,0.005,7884.26,23.821,1.24
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,128,1,1,64,335.995,84.738,0.004,7884.51,23.898,1.236
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,256,1,1,64,336.561,84.167,0.003,7882.08,24.169,1.273
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,512,1,1,64,339.162,83.507,0.004,7817.09,25.75,1.254
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,1024,1,1,64,335.645,82.047,0.005,7897.38,24.652,1.252
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,1,1,1,64,341.591,86.193,0.005,8036.96,25.524,2.184
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,2,1,1,64,347.453,80.957,0.004,7945.27,25.532,1.263
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,4,1,1,64,341.28,83.566,0.004,7912.6,25.48,1.277
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,8,1,1,64,338.429,83.302,0.004,7890.7,25.563,1.277
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,16,1,1,64,338.965,84.304,0.004,7880.02,25.664,1.286
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,32,1,1,64,341.454,81.793,0.025,7871.86,25.424,1.277
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,64,1,1,64,337.418,82.371,0.005,7870.06,25.385,1.277
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,128,1,1,64,340.053,82.897,0.005,7874.33,25.386,1.281
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,256,1,1,64,337.657,82.372,0.004,7871.79,25.394,1.274
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,512,1,1,64,338.072,82.936,0.004,7865.65,25.34,1.278
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,4096,4096,64,64,1024,1,1,64,336.445,82.258,0.005,7880.56,25.317,1.279
