device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,1.04858e+06,1,1,1,4,32.742,2.34,0.003,142.089,1.561,0.149
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,1.04858e+06,2,1,1,4,26.508,1.405,0.001,78.708,1.642,0.166
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,1.04858e+06,4,1,1,4,26.551,1.321,0.002,46.942,1.522,0.201
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,1.04858e+06,8,1,1,4,26.44,1.268,0.002,29.48,1.627,0.158
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,1.04858e+06,16,1,1,4,26.315,1.232,0.001,12.945,1.658,0.155
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,1.04858e+06,32,1,1,4,26.337,1.226,0.001,11.045,1.519,0.143
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,1.04858e+06,64,1,1,4,26.265,1.178,0.001,9.072,1.661,0.151
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,1.04858e+06,128,1,1,4,26.44,1.198,0.001,7.74,2.609,0.171
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,1.04858e+06,256,1,1,4,29.52,2.193,0.001,10.291,2.085,0.309
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,1.04858e+06,512,1,1,4,35.641,2.106,0.003,10.306,2.679,0.215
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,1.04858e+06,1024,1,1,4,32.118,2.27,0.001,8.16,1.685,0.198
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,1.04858e+06,1,1,1,4,32.268,3.113,0.002,149.498,2.238,0.152
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,1.04858e+06,2,1,1,4,26.299,2.591,0.001,90.15,2.757,0.155
