device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,1,1,1,1,12.578,0.545,0.004,1481.06,0.491,0.298
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,1,2,1,1,8.841,0.447,0.002,733.082,0.495,1.095
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,1,4,1,1,8.831,0.499,0.001,424.49,0.489,0.274
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,1,8,1,1,8.81,0.397,0.001,271.82,0.465,0.275
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,1,16,1,1,8.821,0.44,0.001,222.651,0.493,0.306
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,1,32,1,1,8.843,0.46,0.001,175.789,0.466,0.362
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,1,64,1,1,10.627,0.475,0.001,161.639,0.945,0.494
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,1,128,1,1,16.987,0.738,0.003,231.203,0.867,0.463
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,1,256,1,1,20.066,0.755,0.003,262.35,0.841,0.568
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,1,512,1,1,16.214,0.802,0.003,236.98,0.84,0.52
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,1,1024,1,1,17.456,0.718,0.002,-1,-1,-1
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,2,1,1,1,10.694,0.445,0.002,860.418,0.516,0.293
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,2,2,1,1,10.368,0.506,0.001,479.803,0.535,0.274
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,2,4,1,1,10.326,0.494,0.003,334.661,0.51,0.343
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,2,8,1,1,11.061,0.53,0.003,250.08,0.488,0.355
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,2,16,1,1,11.509,0.485,0.001,191.175,0.516,0.373
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,2,32,1,1,12.291,0.496,0.002,169.989,0.778,0.535
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,2,64,1,1,17.359,0.727,0.003,237.365,0.87,0.54
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,2,128,1,1,18.737,0.732,0.003,208.728,0.879,0.52
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,2,256,1,1,18.896,0.688,0.002,197.591,0.9,1.549
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,2,512,1,1,14.258,0.515,0.002,216.066,0.878,0.522
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,4,1,1,1,18.005,0.748,0.002,482.211,1.052,0.444
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,4,2,1,1,11.655,0.484,0.002,304.036,0.856,0.459
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,4,4,1,1,12.227,0.629,0.002,237.268,0.942,0.469
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,4,8,1,1,11.493,0.633,0.002,172.216,1.271,0.451
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,4,16,1,1,11.987,0.761,0.002,202.883,1.137,0.602
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,4,32,1,1,15.681,0.734,0.002,233.205,0.881,0.535
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,4,64,1,1,18.045,0.805,0.002,201.972,0.859,0.552
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,4,128,1,1,18.743,0.715,0.002,161.089,0.593,0.481
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,4,256,1,1,18.058,0.706,0.003,193.501,0.854,0.466
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,8,1,1,1,16.154,0.713,0.003,363.798,0.525,0.341
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,8,2,1,1,10.441,0.408,0.001,233.303,0.487,0.387
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,8,4,1,1,11.834,0.445,0.002,174.48,0.495,0.362
