device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,1,1,1,64,663.068,66.391,0.004,34436.6,34.072,1.703
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,1,2,1,64,661.953,69.009,0.005,37921.6,34.097,1.756
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,1,4,1,64,662.863,68.923,0.004,38030.5,33.798,1.75
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,1,8,1,64,661.948,70.287,0.004,40590,33.781,1.789
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,1,16,1,64,663.564,70.535,0.004,40850.4,33.206,1.755
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,1,32,1,64,661.64,71.85,0.004,45270.7,33.739,1.77
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,1,64,1,64,661.805,71.682,0.004,47745.8,35.266,1.765
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,1,128,1,64,662.643,68.062,0.005,49909.6,36.939,1.706
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,1,256,1,64,661.919,68.877,0.005,53634.9,34.843,1.758
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,1,512,1,64,661.841,67.762,0.005,50560.4,36.173,1.735
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,1,1024,1,64,661.801,68.641,0.004,46866.8,38.96,1.783
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,2,1,1,64,663.031,69.137,0.005,42351.1,33.77,1.785
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,2,2,1,64,662.02,69.969,0.005,42646.1,33.641,1.768
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,2,4,1,64,661.771,68.695,0.003,43312.8,33.663,1.764
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,2,8,1,64,661.91,69.243,0.005,44574.8,34.662,1.767
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,2,16,1,64,663.126,67.575,0.004,45949.3,33.655,1.743
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,2,32,1,64,661.844,70.466,0.004,48046.5,34.205,1.757
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,2,64,1,64,663.037,67.735,0.003,49670.9,35.722,1.757
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,2,128,1,64,662.78,67.681,0.004,50866.7,38.494,1.747
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,2,256,1,64,662.665,69.399,0.005,51227.3,38.502,1.8
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,2,512,1,64,662.758,69.172,0.004,45822.6,41.675,1.752
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,4,1,1,64,664.337,69.35,0.004,41810,33.778,1.769
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,4,2,1,64,661.794,71.341,0.004,42257.7,33.82,1.798
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,4096,4096,4096,4,4,1,64,662.752,67.685,0.004,44003.9,32.934,1.778
