device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,524288,1,1,1,2,27.659,3.091,0.003,9.656,1.261,0.408
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,524288,2,1,1,2,26.372,2.594,0.002,4.667,1.564,0.3
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,524288,4,1,1,2,30.03,3.248,0.002,2.693,1.444,0.459
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,524288,8,1,1,2,29.637,2.417,0.002,1.439,1.169,0.259
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,524288,16,1,1,2,26.305,2.308,0.002,0.65,1.167,0.276
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,524288,32,1,1,2,26.389,2.061,0.001,0.759,1.184,0.254
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,524288,64,1,1,2,26.383,1.841,0.002,0.524,1.184,0.251
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,524288,128,1,1,2,27.589,1.784,0.002,0.417,1.186,0.256
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,524288,256,1,1,2,28.927,1.71,0.001,0.388,1.522,0.265
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,524288,512,1,1,2,26.649,2.455,0.002,0.362,1.539,0.273
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,524288,1024,1,1,2,28.114,2.417,0.003,0.351,1.501,0.273
