device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,1,4,34.3281,324.553,10.969,0.002,11.42,22.345,2.465
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,1,8,34.3281,333.533,10.283,0.003,6.553,23.07,1.11
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,1,16,34.3281,338.952,10.481,0.002,5.869,23.528,1.854
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,2,4,34.3281,322.371,11.241,0.002,6.56,22.755,2.463
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,2,8,34.3281,335.064,10.26,0.002,5.818,20.222,1.466
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,2,16,34.3281,336.316,10.071,0.002,6.059,22.362,1.102
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,4,1,34.3281,321.709,9.458,0.002,11.117,20.051,2.827
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,4,2,34.3281,332.968,10.46,0.002,6.517,22.505,1.845
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,4,4,34.3281,337.575,10.109,0.002,5.793,23.275,0.972
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,4,8,34.3281,339.76,10.146,0.002,6.096,23.096,1.095
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,4,16,34.3281,339.912,10.479,0.002,6.582,24.001,1.85
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,8,1,34.3281,322.926,10.924,0.002,6.388,23.945,3.997
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,8,2,34.3281,334.858,10.323,0.001,6.004,23.191,1.119
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,8,4,34.3281,340.702,10.587,0.002,6.176,22.57,1.802
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,8,8,34.3281,339.221,10.238,0.001,6.687,24.018,1.844
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,8,16,34.3281,338.085,10.487,0.002,7.381,22.389,1.834
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,16,1,34.3281,322.613,10.806,0.002,6.306,22.41,4.005
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,16,2,34.3281,334.547,10.522,0.002,6.397,22.961,1.104
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,16,4,34.3281,340.021,10.558,0.002,6.688,23.721,1.106
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,16,8,34.3281,338.149,10.362,0.002,6.671,22.974,1.86
AMD Firepro W9100,Array3dAverage,THREE_D,208,1,16,16,34.3281,337.852,10.262,0.002,6.566,23.439,1.862
AMD Firepro W9100,Array3dAverage,THREE_D,208,2,1,4,34.3281,323.754,11.027,0.002,6.566,22.385,1.785
AMD Firepro W9100,Array3dAverage,THREE_D,208,2,1,8,34.3281,335.786,10.174,0.002,4.152,24.504,1.454
AMD Firepro W9100,Array3dAverage,THREE_D,208,2,1,16,34.3281,334.77,9.848,0.002,4.217,23.152,1.856
AMD Firepro W9100,Array3dAverage,THREE_D,208,2,2,4,34.3281,323.43,11.125,0.002,4.138,23.865,3.238
AMD Firepro W9100,Array3dAverage,THREE_D,208,2,2,8,34.3281,338.014,10.486,0.002,3.833,24.3,1.829
