device/C,kernel/C,workDimension/C,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Empty,ONE_D,1,1,1,24,0,0,0,0.751,0.001,0.061
AMD Firepro W9100,Empty,ONE_D,2,1,1,24,0.001,0,0,0.333,0,0.022
AMD Firepro W9100,Empty,ONE_D,4,1,1,24,0,0,0,0.253,0,0.018
AMD Firepro W9100,Empty,ONE_D,8,1,1,24,0,0,0,0.312,0,0.043
AMD Firepro W9100,Empty,ONE_D,16,1,1,24,0,0,0,0.311,0,0.019
AMD Firepro W9100,Empty,ONE_D,32,1,1,24,0,0,0,0.248,0,0.018
AMD Firepro W9100,Empty,ONE_D,64,1,1,24,0,0,0,0.337,0,0.045
AMD Firepro W9100,Empty,ONE_D,128,1,1,24,0,0,0,0.282,0,0.018
AMD Firepro W9100,Empty,ONE_D,256,1,1,24,0,0,0,0.213,0,0.018
AMD Firepro W9100,Empty,ONE_D,1,1,1,24,0.001,0,0,0.725,0.001,0.031
AMD Firepro W9100,Empty,ONE_D,2,1,1,24,0,0,0,0.27,0,0.024
AMD Firepro W9100,Empty,ONE_D,4,1,1,24,0,0,0,0.395,0.001,0.048
AMD Firepro W9100,Empty,ONE_D,8,1,1,24,0.001,0,0,0.323,0,0.023
AMD Firepro W9100,Empty,ONE_D,16,1,1,24,0.001,0,0.001,0.26,0,0.024
AMD Firepro W9100,Empty,ONE_D,32,1,1,24,0,0,0,0.404,0,0.054
AMD Firepro W9100,Empty,ONE_D,64,1,1,24,0,0,0,0.388,0.001,0.047
AMD Firepro W9100,Empty,ONE_D,128,1,1,24,0,0,0,0.389,0.001,0.052
AMD Firepro W9100,Empty,ONE_D,256,1,1,24,0,0,0.001,0.323,0.001,0.023
AMD Firepro W9100,Empty,ONE_D,1,1,1,24,0,0.001,0,0.754,0.001,0.073
AMD Firepro W9100,Empty,ONE_D,2,1,1,24,0.001,0,0,0.425,0,0.029
AMD Firepro W9100,Empty,ONE_D,4,1,1,24,0,0,0,0.42,0,0.029
AMD Firepro W9100,Empty,ONE_D,8,1,1,24,0.001,0,0,0.387,0,0.026
AMD Firepro W9100,Empty,ONE_D,16,1,1,24,0,0.001,0,0.409,0,0.027
AMD Firepro W9100,Empty,ONE_D,32,1,1,24,0,0,0,0.381,0,0.026
AMD Firepro W9100,Empty,ONE_D,64,1,1,24,0,0,0,0.404,0.001,0.049
AMD Firepro W9100,Empty,ONE_D,128,1,1,24,0,0,0,0.434,0,0.055
AMD Firepro W9100,Empty,ONE_D,256,1,1,24,0,0,0,0.409,0,0.054
AMD Firepro W9100,Empty,ONE_D,1,1,1,24,0,0,0,0.588,0,0.031
AMD Firepro W9100,Empty,ONE_D,2,1,1,24,0,0,0,0.274,0.001,0.042
AMD Firepro W9100,Empty,ONE_D,4,1,1,24,0,0,0,0.341,0.001,0.028
AMD Firepro W9100,Empty,ONE_D,8,1,1,24,0,0,0.001,0.33,0.001,0.023
AMD Firepro W9100,Empty,ONE_D,16,1,1,24,0,0,0,0.348,0,0.026
AMD Firepro W9100,Empty,ONE_D,32,1,1,24,0,0,0,0.261,0.001,0.022
AMD Firepro W9100,Empty,ONE_D,64,1,1,24,0,0,0,0.26,0.001,0.043
AMD Firepro W9100,Empty,ONE_D,128,1,1,24,0,0,0,0.325,0.001,0.022
AMD Firepro W9100,Empty,ONE_D,256,1,1,24,0.001,0,0,0.354,0,0.022
AMD Firepro W9100,Empty,ONE_D,1,1,1,24,0,0,0.001,0.737,0.001,0.072
AMD Firepro W9100,Empty,ONE_D,2,1,1,24,0.001,0.001,0,0.406,0.001,0.047
AMD Firepro W9100,Empty,ONE_D,4,1,1,24,0.001,0,0.001,0.41,0.001,0.047
AMD Firepro W9100,Empty,ONE_D,8,1,1,24,0.001,0,0.001,0.396,0.001,0.048
AMD Firepro W9100,Empty,ONE_D,16,1,1,24,0,0.001,0,0.386,0,0.048
AMD Firepro W9100,Empty,ONE_D,32,1,1,24,0,0,0,0.342,0,0.024
AMD Firepro W9100,Empty,ONE_D,64,1,1,24,0,0,0,0.228,0,0.023
AMD Firepro W9100,Empty,ONE_D,128,1,1,24,0,0,0,0.353,0,0.05
AMD Firepro W9100,Empty,ONE_D,256,1,1,24,0,0,0,0.292,0,0.023
AMD Firepro W9100,Empty,ONE_D,1,1,1,24,0,0,0,0.653,0.001,0.029
AMD Firepro W9100,Empty,ONE_D,2,1,1,24,0,0,0,0.279,0,0.024
AMD Firepro W9100,Empty,ONE_D,4,1,1,24,0,0,0,0.296,0.001,0.023
