device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,1,1,1,8,54.37,4.82,0.002,97.398,2.465,0.053
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,2,1,1,8,55.758,3.717,0.001,49.336,2.463,0.054
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,4,1,1,8,55.485,3.684,0.002,25.323,2.525,0.051
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,8,1,1,8,56.749,3.424,0.002,13.443,2.523,0.054
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,16,1,1,8,58.487,4.181,0.001,7.375,2.653,0.053
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,32,1,1,8,57.223,3.842,0.002,4.216,2.656,0.056
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,64,1,1,8,58.128,3.846,0.002,2.413,2.596,0.078
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,128,1,1,8,59.382,3.629,0.002,2.117,2.487,0.055
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,256,1,1,8,55.482,3.809,0.002,2.065,2.556,0.052
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,1,1,1,8,54.697,4.078,0.002,97.36,2.436,0.477
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,2,1,1,8,56.694,3.855,0.003,49.43,2.618,0.054
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,4,1,1,8,55.337,3.706,0.004,25.301,2.62,0.053
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,8,1,1,8,56.677,4.129,0.003,13.577,2.758,0.058
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,16,1,1,8,58.242,3.63,0.005,7.291,2.654,0.057
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,32,1,1,8,57.112,3.785,0.004,4.26,2.645,0.057
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,64,1,1,8,58.221,3.813,0.003,2.493,2.589,0.057
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,128,1,1,8,55.206,3.576,0.003,1.847,2.613,0.053
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,256,1,1,8,57.702,3.807,0.006,2.172,2.526,0.09
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,1,1,1,8,40.702,3.853,0.001,97.348,2.522,0.308
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,2,1,1,8,43.6,4.246,0.001,49.426,2.467,0.082
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,4,1,1,8,43.233,3.901,0.001,25.536,2.47,0.08
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,8,1,1,8,46.058,3.865,0,13.749,2.514,0.054
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,16,1,1,8,41.988,3.715,0.001,7.543,2.506,0.055
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,32,1,1,8,44.025,3.858,0.001,4.265,2.483,0.054
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,64,1,1,8,41.178,3.94,0.001,2.603,2.464,0.055
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,128,1,1,8,40.918,3.962,0.001,2.239,2.437,0.054
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,256,1,1,8,40.789,4.344,0.001,2.2,2.376,0.055
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,1,1,1,8,54.683,4.325,0.002,97.328,2.501,0.659
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,2,1,1,8,53.422,3.983,0.001,49.271,2.464,0.052
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,4,1,1,8,53.592,3.775,0.001,25.328,2.465,0.067
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,8,1,1,8,56.072,3.884,0.002,13.442,2.508,0.062
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,16,1,1,8,53.068,3.913,0.002,7.362,2.468,0.048
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,32,1,1,8,54.575,3.701,0.001,4.131,2.466,0.047
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,64,1,1,8,57.058,4.115,0.001,2.573,2.421,0.073
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,128,1,1,8,58.303,3.778,0.001,2.119,2.278,0.052
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,256,1,1,8,55.579,3.911,0.001,2.02,2.405,0.063
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,1,1,1,8,54.279,3.959,0.002,97.225,2.495,0.091
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,2,1,1,8,57.578,3.604,0.002,49.368,2.206,0.062
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,4,1,1,8,56.009,3.43,0.001,25.424,2.48,0.082
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,8,1,1,8,57.306,3.655,0.001,13.437,2.2,0.044
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,16,1,1,8,53.566,3.685,0.001,7.266,2.213,0.043
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,32,1,1,8,55.552,3.838,0.001,4.185,2.193,0.046
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,64,1,1,8,57.162,3.57,0.001,2.371,2.191,0.044
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,128,1,1,8,54.381,3.848,0.001,2.085,2.213,0.043
AMD Firepro W9100,FWT,ONE_D,2.09715e+06,256,1,1,8,53.323,3.504,0.003,2.211,2.141,0.061
