device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,1,1,1,11,82.273,4.837,0.004,24912.7,12.855,2.092
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,1,2,1,11,106.293,4.692,0.004,13042.9,9.684,2.018
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,1,4,1,11,108.23,4.833,0.003,7331.39,11.451,1.998
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,1,8,1,11,109.115,4.677,0.019,4698.19,8.87,2.002
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,1,16,1,11,107.678,4.579,0.006,3414.13,10.817,1.996
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,1,32,1,11,108.107,5.014,0.018,3005.58,11.01,1.962
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,1,64,1,11,107.069,4.525,0.019,3135.68,11.576,1.938
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,1,128,1,11,107.192,4.75,0.018,3065.65,10.98,1.949
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,1,256,1,11,106.511,4.945,0.003,3149.93,10.873,1.976
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,2,1,1,11,109.159,4.497,0.003,13053.2,12.565,1.965
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,2,2,1,11,113.775,4.332,0.004,7281.67,9.41,1.359
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,2,4,1,11,107.74,4.268,0.004,4644.13,11.376,1.846
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,2,8,1,11,108.965,4.679,0.004,3417.48,8.733,1.871
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,2,16,1,11,108.176,4.905,0.004,2924.42,9.545,1.879
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,2,32,1,11,108.26,3.69,0.003,2934.7,11.239,1.873
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,2,64,1,11,108.403,3.958,0.002,2875.46,10.21,1.869
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,2,128,1,11,108.583,4.445,0.004,2892.29,11.24,1.866
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,4,1,1,11,109.299,3.929,0.002,7250.52,7.962,1.893
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,4,2,1,11,107.704,3.914,0.002,4574.88,10.363,1.874
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,4,4,1,11,108.024,4.977,0.004,3469.03,8.22,2.111
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,4,8,1,11,107.013,5.003,0.019,2910.23,11.211,1.879
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,4,16,1,11,109.252,4.521,0.003,2901.66,10.931,1.877
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,4,32,1,11,110.269,4.534,0.004,2794.54,10.954,1.859
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,4,64,1,11,113.758,4.183,0.002,2869.56,10.791,1.872
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,8,1,1,11,108.805,4.843,0.005,4548.28,11.363,1.879
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,8,2,1,11,106.334,4.473,0.003,3387.37,11.129,1.836
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,8,4,1,11,105.799,4.849,0.003,2916.28,11.307,1.872
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,8,8,1,11,110.368,3.839,0.002,2846.81,11.186,1.872
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,8,16,1,11,108.572,5.095,0.004,2724.42,10.654,1.884
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,8,32,1,11,108.141,3.919,0.001,2754.34,10.82,1.875
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,16,1,1,11,108.661,4.58,0.004,3325.62,10.432,1.881
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,16,2,1,11,107.833,4.535,0.003,2893.08,11.28,1.879
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,16,4,1,11,108.702,4.337,0.003,2731.18,7.129,1.874
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,16,8,1,11,107.083,4.058,0.002,2675.77,11.262,1.878
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,16,16,1,11,107.134,4.066,0.002,2732.35,10.921,1.851
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,32,1,1,11,113.694,4.433,0.002,2889.35,12.365,2.084
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,32,2,1,11,107.761,5.011,0.019,2707.37,11.165,1.872
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,32,4,1,11,106.848,4.878,0.004,2712.13,11.254,1.884
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,32,8,1,11,107.676,3.684,0.003,2697.49,10.673,1.874
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,64,1,1,11,106.816,4.075,0.003,2722.17,11.05,1.879
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,64,2,1,11,108.596,4.318,0.002,2669.89,11.285,1.881
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,64,4,1,11,105.973,4.839,0.005,2654.98,8.485,1.864
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,128,1,1,11,112.861,4.193,0.002,2659.34,11.122,1.894
AMD Firepro W9100,FloydWarshall,TWO_D,1773,1773,128,2,1,11,107.836,4.044,0.002,2643.04,11.118,1.888
