device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,1,1,1,24,372.167,77.96,0.004,830.552,0.001,12.811
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,2,1,1,24,371.719,75.809,0.006,714.645,0.001,11.846
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,4,1,1,24,371.973,80.155,0.006,677.551,0.001,11.88
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,8,1,1,24,371.646,79.77,0.007,648.48,0.001,11.868
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,16,1,1,24,377.302,73.547,0.007,675.64,0.001,11.881
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,32,1,1,24,372.556,76.25,0.006,668.948,0.001,11.864
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,64,1,1,24,371.934,79.573,0.006,667.018,0.001,11.938
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,128,1,1,24,371.862,79.013,0.006,665.557,0.001,12.019
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,256,1,1,24,372.219,80.555,0.007,667.566,0.001,12.077
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,1,1,1,24,372.683,76.734,0.004,819.238,0.001,13.426
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,2,1,1,24,372.601,74.516,0.006,712.241,0.001,12.281
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,4,1,1,24,372.622,75.312,0.006,660.591,0.002,12.371
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,8,1,1,24,372.718,72.813,0.006,641.499,0.002,12.371
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,16,1,1,24,373.323,72.161,0.006,656.348,0.002,12.384
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,32,1,1,24,372.618,79.196,0.006,661.763,0.001,12.406
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,64,1,1,24,379.098,77.62,0.006,658.847,0.001,12.132
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,128,1,1,24,372.28,76.533,0.006,664.698,0.001,12.087
AMD Firepro W9100,FluidSimulation,ONE_D,24,1774,1774,3,256,1,1,24,372.393,79.364,0.005,672.649,0.001,12.105
