device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,1,1,18,49.902,31.497,0.005,1623.18,19.204,1.961
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,2,1,18,67.067,18.524,0.004,869.91,19.417,0.485
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,4,1,18,68.728,18.481,0.005,537.006,18.421,0.594
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,8,1,18,67.522,18.518,0.006,406.258,20.091,0.534
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,16,1,18,68.75,19.067,0.003,325.288,19.382,0.542
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,32,1,18,68.874,18.972,0.003,315.559,18.968,0.606
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,64,1,18,68.114,18.803,0.003,328.985,17.633,0.553
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,128,1,18,68.559,18.455,0.003,319.047,19.256,0.661
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,256,1,18,68.314,18.64,0.004,312.257,19.132,0.666
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,2,1,1,18,68.725,19.076,0.003,878.016,17.748,0.584
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,2,2,1,18,68.198,18.649,0.004,537.742,19.571,0.551
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,2,4,1,18,69.222,18.84,0.003,405.644,18.819,0.674
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,2,8,1,18,67.985,18.888,0.002,317.498,17.982,0.588
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,2,16,1,18,68.796,19.061,0.003,316.26,19.34,0.594
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,2,32,1,18,68.83,19.017,0.002,330.1,17.632,0.599
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,2,64,1,18,68.929,18.888,0.003,319.088,18.465,0.595
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,2,128,1,18,67.554,18.394,0.002,313.219,19.093,0.741
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,4,1,1,18,68.501,18.464,0.002,535.67,19.909,0.608
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,4,2,1,18,68.286,18.493,0.002,407.681,19.712,0.608
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,4,4,1,18,69.26,18.742,0.002,325.812,18.639,0.614
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,4,8,1,18,67.551,19.152,0.004,316.335,20.237,0.609
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,4,16,1,18,68.993,18.926,0.003,331.283,20.228,0.588
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,4,32,1,18,68.716,18.383,0.003,326.113,19.282,0.622
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,4,64,1,18,68.821,19.15,0.003,315.049,18.521,0.646
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,8,1,1,18,67.876,18.842,0.002,407.206,18.25,0.633
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,8,2,1,18,67.055,18.854,0.003,317.571,19.838,0.627
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,8,4,1,18,68.792,19.047,0.003,315.738,18.867,0.612
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,8,8,1,18,68.102,18.805,0.002,329.47,17.99,0.637
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,8,16,1,18,68.821,19.035,0.003,321.418,20.093,0.636
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,8,32,1,18,68.739,19.081,0.003,313.16,19.551,0.638
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,16,1,1,18,68.49,19.138,0.002,327.112,18.602,0.693
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,16,2,1,18,68.243,18.572,0.002,316.98,20.324,0.635
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,16,4,1,18,68.849,19.031,0.003,332.796,19.798,0.656
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,16,8,1,18,68.878,18.922,0.002,317.83,18.722,0.695
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,16,16,1,18,67.558,19.134,0.003,313.151,20.44,0.894
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,32,1,1,18,69.208,18.572,0.003,316.058,19.448,0.656
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,32,2,1,18,68.348,18.47,0.003,326.916,18.65,0.749
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,32,4,1,18,68.129,18.52,0.004,305.927,18.58,0.737
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,32,8,1,18,67.613,19.012,0.003,315.031,20.43,0.672
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,64,1,1,18,68.913,18.956,0.004,327.888,18.805,0.772
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,64,2,1,18,68.286,19.214,0.003,320.417,19.301,0.661
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,64,4,1,18,68.928,18.788,0.003,314.188,19.326,0.797
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,128,1,1,18,68.659,19.098,0.004,321.453,19.08,0.664
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,128,2,1,18,68.814,18.914,0.002,313.036,19.402,0.766
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,256,1,1,18,68.547,18.449,0.003,314.68,18.711,0.803
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,1,1,18,46.825,27.844,0.004,1625.94,17.73,2.166
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,2,1,18,63.398,12.78,0.003,884.961,17.523,0.489
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,4,1,18,63.303,12.027,0.004,538.544,16.674,0.5
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,8,1,18,62.823,12.298,0.003,406.713,16.832,0.51
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,16,1,18,63.018,12.112,0.004,324.33,18.754,0.532
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,32,1,18,63.857,12.395,0.003,314.351,18.836,0.533
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,64,1,18,64.114,12.176,0.001,324.597,18.618,0.535
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,128,1,18,63.834,12.346,0.003,319.086,16.367,0.535
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,1,256,1,18,62.868,12.233,0.002,312.801,18.585,0.543
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,2,1,1,18,63.417,12.505,0.003,871.803,15.726,0.534
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,2,2,1,18,62.223,12.705,0.001,509.806,14.642,0.547
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,2,4,1,18,62.643,12.449,0.003,405.823,16.775,0.626
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,2,8,1,18,62.716,12.186,0.004,325.126,18.173,0.563
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,2,16,1,18,63.809,12.339,0.004,315.366,17.969,0.588
AMD Firepro W9100,LUDecomposition,TWO_D,1536,1536,2,32,1,18,63.385,12.573,0.001,324.983,18.367,0.597
