device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,1,1,1,23,254.239,15.81,0.005,5115.26,5.539,3.015
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,1,2,1,23,288.73,13.398,0.003,2774.82,6.854,1.499
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,1,4,1,23,320.172,13.862,0.004,1385.59,6.825,1.508
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,1,8,1,23,311.804,13.241,0.003,1072.76,6.901,1.493
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,1,16,1,23,329.738,14.165,0.002,586.404,6.898,1.524
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,1,32,1,23,259.133,13.973,0.003,1093.18,6.837,1.535
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,1,64,1,23,316.466,14.025,0.003,1017.57,6.905,1.507
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,1,128,1,23,310.481,14.306,0.003,1393.52,6.857,1.541
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,1,256,1,23,310.639,19.468,0.004,2728.17,6.85,1.555
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,2,1,1,23,286.288,21.97,0.003,2751.13,6.847,1.515
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,2,2,1,23,319.576,11.163,0.003,1386.95,6.862,1.54
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,2,4,1,23,308.597,24.099,0.003,715.959,6.828,1.541
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,2,8,1,23,317.308,22.417,0.002,531.013,6.833,1.533
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,2,16,1,23,261.815,19.146,0.002,600.116,6.878,1.537
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,2,32,1,23,261.222,19.19,0.003,242.038,6.853,1.529
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,2,64,1,23,262.986,13.931,0.003,343.008,6.847,1.537
AMD Firepro W9100,MatrixMultiplication,TWO_D,2508,2508,2508,2,128,1,23,255.222,19.339,0.005,630.263,6.875,1.524
