device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,1,1,1,25,134.638,7.727,0.005,30.14,12.089,0.062
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,1,2,1,25,136.502,6.608,0.002,15.313,7.01,0.047
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,1,4,1,25,131.071,7.541,0.005,7.887,6.913,0.047
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,1,8,1,25,135.212,7.636,0.003,4.195,6.852,0.048
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,1,16,1,25,132.546,7.731,0.003,2.402,7.133,0.079
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,1,32,1,25,132.657,7.782,0.001,1.542,6.976,0.078
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,1,64,1,25,133.155,7.467,0.004,1.506,6.93,0.049
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,1,128,1,25,133.571,7.924,0.004,1.526,6.744,0.048
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,1,256,1,25,134.05,7.322,0.003,1.528,7.588,0.079
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,2,1,1,25,134.37,7.697,0.003,15.241,7.024,0.049
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,2,2,1,25,130.784,6.655,0.002,7.877,6.927,0.048
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,2,4,1,25,135.343,7.753,0.003,4.272,7.187,0.093
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,2,8,1,25,132.588,7.811,0.003,2.387,7.106,0.078
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,2,16,1,25,132.535,7.676,0.003,1.373,6.909,0.05
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,2,32,1,25,132.977,8.192,0.004,0.919,6.672,0.048
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,2,64,1,25,134.46,7.812,0.003,0.947,7.161,0.047
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,2,128,1,25,133.838,7.672,0.006,0.933,7.073,0.046
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,4,1,1,25,134.1,8.015,0.003,7.882,7.363,0.109
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,4,2,1,25,136.2,7.446,0.003,4.148,6.707,0.061
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,4,4,1,25,132.905,7.649,0.004,2.299,6.705,0.047
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,4,8,1,25,133.282,7.419,0.005,1.348,6.928,0.05
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,4,16,1,25,133.599,7.921,0.003,0.932,7.002,0.05
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,4,32,1,25,134.733,7.452,0.007,0.726,7.013,0.048
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,4,64,1,25,133.681,7.755,0.003,0.786,7.155,0.049
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,8,1,1,25,134.243,7.553,0.005,4.164,6.803,0.048
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,8,2,1,25,132.428,7.572,0.004,2.276,7.154,0.048
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,8,4,1,25,133.352,8.199,0.003,1.641,7.145,0.051
AMD Firepro W9100,MatrixTranspose,TWO_D,2610,2610,8,8,1,25,132.319,7.691,0.005,0.965,6.995,0.046
