device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,1,1,1,28.0079,625.233,0.082,0.001,2535.81,0.013,10.708
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,1,2,1,28.0079,666.538,0.081,0.001,1370.63,0.009,9.036
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,1,4,1,28.0079,624.034,0.077,0.002,837.269,0.009,9.068
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,1,8,1,28.0079,624.242,0.084,0.002,562.409,0.009,9.079
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,1,16,1,28.0079,624.931,0.079,0.002,432.806,0.009,8.997
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,1,32,1,28.0079,623.427,0.079,0.001,338.984,0.009,14.739
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,1,64,1,28.0079,623.611,0.074,0.002,307.028,0.01,11.838
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,1,128,1,28.0079,623.172,0.077,0.002,310.388,0.009,14.777
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,1,256,1,28.0079,623.353,0.075,0.002,301.713,0.005,14.805
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,2,1,1,28.0079,623.782,0.078,0.001,1396.45,0.023,9.045
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,2,2,1,28.0079,624.048,0.077,0.001,836.807,0.011,9.098
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,2,4,1,28.0079,625.392,0.078,0.001,560.198,0.005,9.134
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,2,8,1,28.0079,624.981,0.08,0.001,433.109,0.006,9.085
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,2,16,1,28.0079,625.338,0.078,0.002,336.084,0.01,8.932
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,2,32,1,28.0079,624.911,0.078,0.002,302.606,0.006,11.995
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,2,64,1,28.0079,625.864,0.078,0.002,299.332,0.01,11.987
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,2,128,1,28.0079,624.962,0.077,0.002,301.803,0.004,17.195
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,4,1,1,28.0079,625.595,0.078,0.002,821.468,0.005,8.995
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,4,2,1,28.0079,667.037,0.131,0.003,719.237,0.013,6.511
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,4,4,1,28.0079,623.574,0.129,0.002,613.046,0.014,9.568
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,4,8,1,28.0079,623.881,0.124,0.003,530.19,0.014,6.511
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,4,16,1,28.0079,623.58,0.115,0.002,492.727,0.015,12.643
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,4,32,1,28.0079,624.084,0.119,0.003,487.134,0.018,9.355
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,4,64,1,28.0079,623.477,0.124,0.002,488.096,0.01,12.161
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,8,1,1,28.0079,623.411,0.128,0.002,758.489,0.009,6.456
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,8,2,1,28.0079,625.086,0.113,0.003,610.682,0.013,9.537
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,8,4,1,28.0079,623.431,0.122,0.002,525.382,0.014,12.583
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,8,8,1,28.0079,623.768,0.123,0.003,487.169,0.014,9.578
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,8,16,1,28.0079,623.422,0.119,0.002,486.453,0.014,9.37
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,8,32,1,28.0079,623.276,0.126,0.003,487.443,0.013,14.463
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,16,1,1,28.0079,624.248,0.163,0.002,605.577,0.013,6.733
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,16,2,1,28.0079,623.63,0.128,0.003,527.823,0.024,9.376
AMD Firepro W9100,MonteCarloAsian,TWO_D,958,1916,4,16,4,1,28.0079,624.596,0.121,0.003,492.894,0.014,9.346
