device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,1,1,1,20,116.331,20.971,0.004,1.06914e+06,0.002,4.726
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,2,1,1,20,156.301,20.344,0.022,534373,0.001,1.36
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,4,1,1,20,161.074,20.377,0.009,267087,0.002,1.341
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,8,1,1,20,141.131,15.608,0.005,133476,0.002,1.333
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,16,1,1,20,138.143,20.572,0.005,66830.5,0.001,1.31
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,32,1,1,20,137.167,19.739,0.005,33447.7,0.002,1.353
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,64,1,1,20,133.078,22.698,0.003,18749.6,0,1.282
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,128,1,1,20,142.978,29.049,0.007,19262.8,0.001,1.311
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,256,1,1,20,152.817,30.839,0.006,19466.3,0,1.286
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,1,1,1,20,115.908,32.551,0.003,1.06916e+06,0.001,3.532
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,2,1,1,20,150.074,19.11,0.003,534294,0,0.989
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,4,1,1,20,165.042,19.955,0.019,267041,0,1.02
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,8,1,1,20,141.604,15.064,0.002,133477,0.001,1.016
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,16,1,1,20,148.505,15.097,0.003,66828.6,0,1.029
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,32,1,1,20,145.793,20.689,0.003,33448.8,0.001,1.016
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,64,1,1,20,140.361,19.925,0.003,18058.3,0,1.018
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,128,1,1,20,152.054,22.714,0.003,18355.1,0.001,1.024
AMD Firepro W9100,NBody,ONE_D,1.31072e+06,0.005,1,256,1,1,20,136.22,29.575,0.003,18879,0.001,1.01
