device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,1,1,1,34,191.311,24.21,0.003,18.745,14.142,1.387
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,2,1,1,34,186.263,23.464,0.003,11.682,10.172,0.42
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,4,1,1,34,181.823,24.256,0.004,10.397,4.002,0.263
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,8,1,1,34,181.847,24.534,0.004,9.218,2.105,0.267
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,16,1,1,34,179.344,24.535,0.003,8.517,0.794,0.252
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,32,1,1,34,182.787,24.512,0.003,8.498,0.451,0.117
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,64,1,1,34,185.298,24.515,0.003,8.557,0.406,0.144
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,128,1,1,34,179.28,24.509,0.003,8.689,0.182,0.142
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,256,1,1,34,183.768,24.506,0.003,8.396,0.11,0.127
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,1,1,1,34,188.287,13.563,0.018,15.94,17.421,2.781
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,2,1,1,34,181.671,12.15,0.017,11.941,8.207,0.895
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,4,1,1,34,178.31,12.105,0.018,10.581,5.278,0.654
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,8,1,1,34,176.456,12.157,0.017,9.229,2.467,0.978
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,16,1,1,34,181.198,12.332,0.003,8.634,1.411,0.721
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,32,1,1,34,176.534,12.125,0.003,8.198,0.669,0.68
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,64,1,1,34,177.255,12.132,0.017,8.083,0.225,0.397
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,128,1,1,34,178.405,12.121,0.016,8.735,0.172,0.386
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,256,1,1,34,178.834,12.171,0.018,8.382,0.089,0.353
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,1,1,1,34,186.816,23.529,0.002,18.222,11.693,1.745
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,2,1,1,34,181.029,22.978,0.003,13.107,9.841,0.636
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,4,1,1,34,177.804,22.97,0.003,10.17,7.339,0.564
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,8,1,1,34,177.333,22.933,0.002,8.702,2.292,0.172
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,16,1,1,34,176.46,24.323,0.003,8.435,1.092,0.257
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,32,1,1,34,182.96,24.298,0.003,8.247,0.451,0.106
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,64,1,1,34,177.643,24.238,0.002,8.407,0.28,0.098
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,128,1,1,34,177.147,24.303,0.003,8.305,0.166,0.092
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,256,1,1,34,176.962,24.346,0.003,8.33,0.098,0.09
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,1,1,1,34,180.944,23.426,0.003,18.424,11.695,1.406
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,2,1,1,34,176.934,22.612,0.003,11.538,9.955,0.404
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,4,1,1,34,176.89,22.633,0.003,9.595,6.599,0.671
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,8,1,1,34,174.939,24,0.003,8.944,2.312,0.226
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,16,1,1,34,173.977,23.968,0.003,8.355,0.966,0.194
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,32,1,1,34,175.035,24.002,0.003,8.393,0.455,0.112
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,64,1,1,34,175.562,23.966,0.003,8.142,0.273,0.104
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,128,1,1,34,177.213,23.958,0.002,8.489,0.14,0.097
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,256,1,1,34,177.068,23.943,0.003,8.544,0.098,0.095
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,1,1,1,34,183.68,24.823,0.003,18.004,17.143,1.729
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,2,1,1,34,178.627,24.054,0.003,12.85,9.321,0.409
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,4,1,1,34,176.328,24.039,0.004,9.747,6.665,0.358
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,8,1,1,34,174.945,23.998,0.003,9.185,1.937,0.172
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,16,1,1,34,174.695,24.258,0.003,8.67,0.798,0.129
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,32,1,1,34,180.479,24.029,0.002,8.441,0.45,0.11
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,64,1,1,34,177.377,24.016,0.003,8.016,0.225,0.1
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,128,1,1,34,177.78,23.99,0.003,8.774,0.14,0.096
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,256,1,1,34,177.235,24.027,0.003,8.522,0.097,0.095
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,1,1,1,34,184.193,25.06,0.003,16.59,17.635,1.713
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,2,1,1,34,178.438,24.045,0.003,12.933,8.693,0.386
AMD Firepro W9100,Reduction,ONE_D,2.22822e+06,4,1,1,34,175.368,24.073,0.003,9.381,6.234,0.516
