device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,1,1,1,44,227.675,13.03,0.003,52.67,28.317,2.944
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,2,1,1,44,231.179,10.338,0.002,27.752,27.082,3.26
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,4,1,1,44,230.618,10.243,0.002,14.983,23.85,2.913
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,8,1,1,44,229.183,9.955,0.003,8.827,27.354,3.242
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,16,1,1,44,230.253,10.275,0.003,5.756,28.701,2.936
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,32,1,1,44,231.312,10.392,0.003,3.945,24.055,2.924
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,64,1,1,44,229.457,10.074,0.003,3.298,24.393,2.708
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,128,1,1,44,229.517,10.116,0.003,2.639,24.33,2.899
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,256,1,1,44,231.6,12.94,0.002,3.57,27.697,3.04
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,1,1,1,44,227.319,12.961,0.003,51.893,25.937,2.305
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,2,1,1,44,230.057,12.954,0.002,27.077,30.893,2.649
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,4,1,1,44,227.674,13.049,0.001,14.584,30.378,2.667
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,8,1,1,44,228.558,13.113,0.002,8.185,25.974,2.636
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,16,1,1,44,229.312,12.949,0.001,4.991,27.573,2.672
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,32,1,1,44,225.087,11.041,0.002,3.288,27.861,2.583
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,64,1,1,44,226.271,10.69,0.001,2.298,24.67,2.378
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,128,1,1,44,227.006,12.99,0.002,2.245,27.91,2.662
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,256,1,1,44,225.293,13.067,0.002,2.298,27.619,2.676
AMD Firepro W9100,SquareArray,ONE_D,1.15343e+07,1,1,1,44,226.601,13.058,0.004,52.78,25.123,3.21
