device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,1,1,1.95312,21.883,3.274,0.002,18.062,1.249,0.196
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,1,2,1.95312,25.221,1.054,0.001,4.902,1.539,0.179
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,1,4,1.95312,27.237,1.485,0.002,2.823,1.207,0.17
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,1,8,1.95312,25.895,1.043,0.002,1.687,1.191,0.159
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,1,16,1.95312,25.906,1.044,0.001,2.763,1.566,0.166
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,2,1,1.95312,26.763,1.632,0.001,4.254,1.202,0.176
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,2,2,1.95312,25.494,1.059,0.001,2.316,1.179,0.254
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,2,4,1.95312,27.591,1.019,0.002,1.85,1.566,0.159
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,2,8,1.95312,25.972,1.491,0.001,1.602,1.533,0.167
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,2,16,1.95312,26.637,1.469,0.001,2.423,1.56,0.166
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,4,1,1.95312,25.194,1.639,0.001,3.165,1.514,0.152
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,4,2,1.95312,26.044,1.507,0.002,2.086,1.538,0.158
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,4,4,1.95312,26.69,1.463,0.001,1.622,1.562,0.157
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,4,8,1.95312,26.757,1.607,0.001,1.432,1.471,0.157
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,4,16,1.95312,26.512,1.498,0.002,2.658,1.219,0.168
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,8,1,1.95312,24.77,1.455,0.001,2.263,1.508,0.141
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,8,2,1.95312,26.643,1.601,0.001,1.797,1.492,0.149
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,8,4,1.95312,27.154,1.611,0.001,1.604,1.49,0.16
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,8,8,1.95312,26.469,1.616,0.001,1.964,0.943,0.13
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,8,16,1.95312,24.708,0.908,0,2.24,1.499,0.189
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,16,1,1.95312,25.19,1.578,0,2.858,1.537,0.142
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,16,2,1.95312,27.014,1.596,0.001,3.896,1.48,0.168
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,16,4,1.95312,34.419,1.614,0.001,2.704,1.5,0.14
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,16,8,1.95312,26.865,1.612,0,2.508,1.177,0.135
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,1,16,16,1.95312,25.889,1.195,0.001,1.504,1.509,0.14
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,1,1,1.95312,26.335,1.526,0.002,5.586,1.553,0.144
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,1,2,1.95312,30.429,1.642,0.001,2.893,1.509,0.142
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,1,4,1.95312,27.099,1.606,0.001,1.871,1.466,0.164
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,1,8,1.95312,27.106,1.602,0.001,1.519,1.337,0.143
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,1,16,1.95312,26.459,1.35,0.001,1.606,0.941,0.125
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,2,1,1.95312,24.801,1.605,0,2.629,1.19,0.305
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,2,2,1.95312,25.212,1.366,0.002,1.649,1.193,0.164
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,2,4,1.95312,25.222,1.01,0.001,1.071,1.487,0.142
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,2,8,1.95312,26.287,1.032,0.002,1.323,1.537,0.149
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,2,16,1.95312,29.718,1.58,0.001,1.406,1.548,0.155
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,4,1,1.95312,26.827,1.571,0.002,1.495,1.129,0.152
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,4,2,1.95312,26.251,1.279,0.002,1.535,1.54,0.147
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,4,4,1.95312,26.691,1.631,0.001,1.293,1.461,0.162
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,4,8,1.95312,27.518,1.626,0.001,2.14,1.514,0.146
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,4,16,1.95312,28.439,1.59,0.001,2.22,1.493,0.149
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,8,1,1.95312,29.713,1.533,0.002,1.578,1.54,0.134
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,8,2,1.95312,26.367,1.661,0.001,1.409,1.527,0.15
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,8,4,1.95312,27.23,1.543,0.001,1.189,1.51,0.17
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,8,8,1.95312,27.033,1.595,0.001,1.247,1.525,0.155
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,8,16,1.95312,29.955,1.613,0.001,2.071,1.523,0.148
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,16,1,1.95312,27.442,1.412,0.001,2.205,1.166,0.144
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,16,2,1.95312,26.417,1.582,0.001,2.086,1.511,0.143
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,16,4,1.95312,27.692,1.601,0.001,2.111,1.502,0.138
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,16,8,1.95312,28.452,1.613,0,1.225,1.309,0.139
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,2,16,16,1.95312,26.909,0.994,0.001,1.45,1.195,0.148
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,1,1,1.95312,27.216,1.548,0,4.591,0.986,0.153
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,1,2,1.95312,25.307,1.286,0.002,1.35,1.556,0.171
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,1,4,1.95312,27.128,1.515,0.001,1.6,1.573,0.236
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,1,8,1.95312,33.186,1.503,0.001,1.649,1.575,0.142
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,1,16,1.95312,27.117,1.501,0.001,1.595,1.539,0.155
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,2,1,1.95312,28.198,1.516,0.001,2.873,1.564,0.153
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,2,2,1.95312,28.096,1.525,0.001,1.985,1.531,0.153
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,2,4,1.95312,28.565,1.518,0.001,1.598,1.583,0.141
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,2,8,1.95312,27.087,1.468,0.001,0.991,1.22,0.135
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,2,16,1.95312,26.259,1.432,0.001,0.959,1.198,0.139
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,4,1,1.95312,27.98,1.596,0.002,2.319,1.546,0.127
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,4,2,1.95312,36.449,1.571,0.001,1.628,1.598,0.146
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,4,4,1.95312,32.849,1.583,0.001,1.432,1.566,0.147
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,4,8,1.95312,29.963,1.502,0.002,1.403,1.53,0.142
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,4,16,1.95312,27.454,1.487,0.002,0.834,1.596,0.139
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,8,1,1.95312,30.077,1.62,0.001,1.829,1.562,0.146
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,8,2,1.95312,26.242,1.622,0.001,1.739,1.528,0.185
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,8,4,1.95312,40.937,1.653,0.002,1.662,1.575,0.218
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,8,8,1.95312,28.871,1.62,0,1.385,1.541,0.137
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,8,16,1.95312,27.891,1.614,0.001,1.402,1.262,0.155
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,16,1,1.95312,23.695,1.71,0.001,1.483,1.266,0.154
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,16,2,1.95312,25.072,1.69,0.001,1.389,1.205,0.159
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,16,4,1.95312,24.66,1.726,0.001,1.256,1.198,0.156
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,16,8,1.95312,23.058,1.677,0.002,1.248,0.931,0.129
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,4,16,16,1.95312,24.001,1.579,0.001,1.276,1.192,0.159
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,8,1,1,1.95312,23.056,1.659,0.001,2.446,0.792,0.126
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,8,1,2,1.95312,24.462,1.544,0.002,2.11,1.191,0.14
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,8,1,4,1.95312,28.78,1.701,0.001,1.414,1.077,0.14
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,8,1,8,1.95312,24.683,1.669,0.001,1.132,1.074,0.143
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,8,1,16,1.95312,24.411,1.536,0.002,1.1,0.734,0.144
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,8,2,1,1.95312,22.51,1.662,0.002,2.14,1.198,0.131
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,8,2,2,1.95312,22.777,1.691,0.002,1.342,1.082,0.138
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,8,2,4,1.95312,21.646,1.62,0.002,1.086,1.096,0.145
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,8,2,8,1.95312,24.672,1.727,0.001,1.297,1.074,0.138
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,8,2,16,1.95312,26.76,1.682,0.002,0.959,1.033,0.137
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,8,4,1,1.95312,23.292,1.655,0.003,1.576,1.168,0.153
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,8,4,2,1.95312,25.074,1.695,0.001,1.366,1.162,0.149
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,80,8,4,4,1.95312,24.68,1.684,0.001,1.272,1.177,0.15
