device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,1,1,1,7,59.483,15.548,0.001,550.132,3.391,0.756
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,2,1,1,7,42.412,10.912,0.002,523.399,3.296,0.685
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,4,1,1,7,42.344,10.62,0.001,510.83,3.253,0.64
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,8,1,1,7,42.349,13.839,0.001,506.792,3.295,0.681
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,16,1,1,7,45.731,13.701,0.001,506.67,3.37,0.694
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,32,1,1,7,45.623,13.696,0.001,504.649,3.324,0.65
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,64,1,1,7,44.924,13.171,0.001,504.79,3.286,0.644
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,128,1,1,7,42.519,12.558,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,256,1,1,7,48.594,9.653,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,512,1,1,7,46.602,9.694,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,1024,1,1,7,47.212,14.349,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,1,1,1,7,61.417,13.744,0.003,550.917,2.993,0.685
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,2,1,1,7,41.245,9.552,0.002,524.596,3.124,0.652
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,4,1,1,7,41.347,9.877,0.001,512.998,3.111,0.623
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,8,1,1,7,41.059,11.218,0.001,507.708,3.183,0.641
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,16,1,1,7,41.098,9.032,0.002,507.531,3.112,0.637
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,32,1,1,7,43.874,12.206,0.002,508.373,3.131,0.644
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,64,1,1,7,41.027,9.276,0.001,505.497,3.156,0.625
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,128,1,1,7,43.552,13.625,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,256,1,1,7,50.159,11.342,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,512,1,1,7,47.236,10.189,0.001,-1,-1,-1
