device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,1,1,1,8,41.977,4.232,0.002,250.596,3.052,0.123
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,2,1,1,8,41.469,2.333,0.016,134.946,2.643,0.115
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,4,1,1,8,41.768,2.367,0.002,82.649,2.334,0.116
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,8,1,1,8,46.878,2.405,0.001,48.935,2.353,0.12
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,16,1,1,8,46.849,2.384,0.001,21.908,2.331,0.113
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,32,1,1,8,46.19,2.441,0.001,14.394,2.312,0.106
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,64,1,1,8,45.835,2.253,0.001,12.051,2.395,0.128
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,128,1,1,8,46.802,2.389,0.018,8.551,2.305,0.109
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,256,1,1,8,49.411,2.949,0.002,7.432,2.314,0.096
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,512,1,1,8,68.935,5.007,0.001,7.887,2.322,0.149
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,1024,1,1,8,41.403,1.991,0.001,6.265,2.315,0.071
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,1,1,1,8,46.83,3.828,0.002,243.869,3.126,0.121
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,2,1,1,8,47.149,2.816,0.002,135.13,2.272,0.12
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,4,1,1,8,41.4,2.28,0.001,82.459,2.371,0.096
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,8,1,1,8,46.832,2.434,0.001,55.206,2.35,0.167
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,16,1,1,8,52.273,2.774,0.002,21.82,2.307,0.131
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,32,1,1,8,40.591,2.219,0.001,15.195,2.314,0.136
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,64,1,1,8,46.628,2.308,0.001,11.96,5.11,0.091
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,128,1,1,8,46.54,2.28,0.001,9.819,2.37,0.121
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,256,1,1,8,45.959,2.233,0.001,7.202,2.296,0.137
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,512,1,1,8,45.945,2.231,0.001,7.379,2.268,0.126
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,1024,1,1,8,47.134,4.045,0.001,11.96,4.808,0.134
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,1,1,1,8,45.145,6.661,0.001,257.561,5.49,0.154
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,2,1,1,8,41.008,5.342,0.001,142.278,3.638,0.08
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,2.09715e+06,4,1,1,8,40.753,3.529,0.001,94.579,3.244,0.09
