device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,1,1,1,8,122.427,79.303,0.005,287.011,0.001,1.888
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,2,1,1,8,123.512,73.874,0.005,284.636,0,1.144
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,4,1,1,8,118.176,74.598,0.006,283.028,0.001,2.154
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,8,1,1,8,123.722,74.931,0.004,265.974,0.001,1.178
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,16,1,1,8,116.887,73.245,0.005,247.657,0.001,2.264
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,32,1,1,8,128.501,74.87,0.005,252.049,0.001,2.536
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,64,1,1,8,128.966,72.474,0.004,248.454,0.001,2.896
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,128,1,1,8,123.791,75.827,0.005,227.904,0,1.257
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,256,1,1,8,117.455,71.791,0.004,237.6,0,2.401
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,512,1,1,8,123.506,74.682,0.004,222.041,0.001,1.194
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,1024,1,1,8,117.435,73.994,0.004,250.079,0,2.273
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,1,1,1,8,123.403,94.665,0.006,367.237,0.002,2.336
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,2,1,1,8,124.038,75.39,0.006,292.86,0.001,1.055
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,4,1,1,8,116.414,77.298,0.007,295.202,0.002,2.101
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,8,1,1,8,124.237,73.283,0.006,265.477,0.002,1.055
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,16,1,1,8,114.967,76.689,0.006,263.221,0.001,2.155
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,32,1,1,8,124.17,77.789,0.005,256.377,0.002,1.034
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,64,1,1,8,116.748,76.468,0.005,253.676,0.002,2.193
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,128,1,1,8,124.222,73.197,0.006,259.589,0.002,1.009
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,256,1,1,8,115.871,74.642,0.005,248.433,0.001,2.255
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,512,1,1,8,124.116,74.026,0.006,252.892,0.002,1.123
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,8,1024,1024,3,1024,1,1,8,154.778,92.432,0.006,284.761,0.002,2.694
