device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,1,1,1,1,16.972,1.481,0.002,11.541,1.273,0.178
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,1,2,1,1,13.133,1.546,0.002,4.857,1.142,0.142
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,1,4,1,1,17.158,1.609,0.001,3.228,1.523,0.152
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,1,8,1,1,17.491,1.718,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,1,16,1,1,17.507,1.508,0.005,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,1,32,1,1,18.525,1.537,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,1,64,1,1,17.494,1.403,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,1,128,1,1,14.225,1.376,0.02,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,1,256,1,1,15.302,1.399,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,1,512,1,1,15.305,1.396,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,1,1024,1,1,15.295,1.403,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,2,1,1,1,14.928,1.433,0.003,7.424,1.224,0.125
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,2,2,1,1,18.532,1.501,0.003,3.785,1.185,0.136
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,2,4,1,1,13.117,1.592,0.002,2.736,1.392,0.125
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,2,8,1,1,26.059,1.548,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,724,724,2,16,1,1,19.229,1.449,0.003,-1,-1,-1
