device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,1,1,1,28,150.255,14.09,0.004,25.822,9.194,1.196
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,2,1,1,28,149.636,14.351,0.003,14.698,4.718,0.505
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,4,1,1,28,145.055,14.174,0.003,4.058,2.333,0.446
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,8,1,1,28,144.985,14.154,0.003,2.922,3.029,0.5
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,16,1,1,28,143.866,14.282,0.003,2.317,0.69,0.438
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,32,1,1,28,143.883,14.28,0.003,1.642,0.423,0.444
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,64,1,1,28,143.509,14.242,0.003,1.505,0.187,0.509
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,128,1,1,28,143.702,14.23,0.004,1.461,0.103,0.409
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,256,1,1,28,144.17,14.274,0.003,1.567,0.059,0.405
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,512,1,1,28,145.838,14.353,0.016,1.817,0.037,0.398
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,1024,1,1,28,141.917,14.271,0.002,2.05,0.027,0.401
