device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,1,1,1,18,126.047,15.151,0.002,53.437,6.949,0.25
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,2,1,1,18,120.047,10.249,0.002,31.919,6.812,0.177
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,4,1,1,18,119.823,11.45,0.002,16.681,6.75,0.234
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,8,1,1,18,119.173,14.756,0.001,11.394,6.778,0.175
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,16,1,1,18,126.447,13.192,0.002,8.198,6.743,0.255
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,32,1,1,18,120.939,13.692,0.002,5.335,7.628,0.257
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,64,1,1,18,123.05,13.685,0.001,3.825,6.762,0.314
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,128,1,1,18,123.661,10.95,0.003,2.69,6.735,0.223
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,256,1,1,18,125.741,11.914,0.002,1.144,6.627,0.274
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,512,1,1,18,123.617,10.985,0.002,1.323,6.669,0.238
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,4.71859e+06,1024,1,1,18,122.444,13.643,0.002,0.941,7.911,0.213
