device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,1,1,1,10,139.059,14.369,0.02,35.703,4.361,0.195
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,2,1,1,10,136.252,15.431,0.005,19.485,4.46,0.216
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,4,1,1,10,136.192,13.548,0.019,12.311,4.465,0.204
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,8,1,1,10,136.041,14.516,0.004,8.59,4.791,0.208
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,16,1,1,10,140.787,13.971,0.019,5.323,4.413,0.274
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,32,1,1,10,135.483,13.195,0.004,3.187,4.581,0.315
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,64,1,1,10,138.717,13.18,0.004,2.282,4.463,0.296
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,128,1,1,10,139.196,13.035,0.004,1.897,4.437,0.279
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,256,1,1,10,139.415,13.361,0.004,1.208,4.396,0.251
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,512,1,1,10,140.816,13.268,0.018,0.981,4.385,0.231
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,1024,1,1,10,140.776,13.287,0.004,0.786,4.406,0.148
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,1,1,1,10,139.686,13.17,0.018,30.738,6.85,0.244
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,2,1,1,10,135.386,15.322,0.019,22.617,6.729,0.181
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,4,1,1,10,135.515,14.509,0.004,12.723,6.808,0.248
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,8,1,1,10,141.936,13.657,0.018,10.389,6.802,0.311
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,16,1,1,10,134.877,13.211,0.004,4.977,6.812,0.268
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,32,1,1,10,135.082,12.633,0.018,2.864,6.814,0.289
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,64,1,1,10,147.292,14.87,0.019,2.37,8.366,0.28
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,128,1,1,10,134.863,12.307,0.019,1.874,6.815,0.253
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,256,1,1,10,137.332,12.881,0.018,1.092,6.767,0.255
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,512,1,1,10,135.85,11.878,0.003,0.764,6.786,0.162
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,1024,1,1,10,139.584,11.511,0.018,0.754,6.719,0.222
