device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,MatrixMultiplication,TWO_D,1773,1773,1773,1,1,1,11,123.454,8.35,0.009,113.243,5.8,0.635
GTX 780,MatrixMultiplication,TWO_D,1773,1773,1773,1,1,1,11,119.332,8.329,0.007,99.901,4.026,0.222
GTX 780,MatrixMultiplication,TWO_D,1773,1773,1773,1,1,1,11,119.575,8.338,0.009,99.933,4.027,0.231
GTX 780,MatrixMultiplication,TWO_D,1773,1773,1773,1,1,1,11,120.274,8.372,0.008,100.065,4.036,0.222
GTX 780,MatrixMultiplication,TWO_D,1773,1773,1773,1,1,1,11,119.666,8.345,0.008,100.059,4.026,0.23
GTX 780,MatrixMultiplication,TWO_D,1773,1773,1773,1,1,1,11,119.478,8.316,0.008,100.017,3.975,0.224
GTX 780,MatrixMultiplication,TWO_D,1773,1773,1773,1,1,1,11,119.619,8.317,0.007,100.061,3.988,0.222
GTX 780,MatrixMultiplication,TWO_D,1773,1773,1773,1,1,1,11,119.757,8.306,0.008,99.953,3.986,0.224
GTX 780,MatrixMultiplication,TWO_D,1773,1773,1773,1,1,1,11,120.609,8.353,0.008,100.036,3.995,0.224
GTX 780,MatrixMultiplication,TWO_D,1773,1773,1773,1,1,1,11,119.487,8.445,0.008,99.852,3.986,0.222
