device/C,kernel/C,workDimension/C,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0.001,0.025,0.056,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.023,0.054,0.001,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0.001,0.018,0.067,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.024,0.053,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.022,0.054,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.021,0.053,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.022,0.054,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0.001,0,0.027,0.054,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0.001,0.024,0.057,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.024,0.055,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0.001,0.021,0.056,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0.001,0,0.021,0.078,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0.001,0,0.023,0.067,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0.001,0,0.021,0.055,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.035,0.039,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0.001,0.022,0.053,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0.001,0,0.021,0.055,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.022,0.05,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0.001,0.014,0.038,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.02,0.056,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0.001,0,0.021,0.053,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.022,0.053,0.001,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.02,0.055,0.001,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.023,0.054,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.012,0.035,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.016,0.042,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0.001,0.021,0.053,0.001,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.023,0.056,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0.001,0,0.021,0.055,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0.001,0.02,0.053,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.022,0.054,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0.001,0,0.021,0.054,0.001,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0.001,0,0.022,0.054,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0.001,0.024,0.053,0.001,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.023,0.055,0.001,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0.001,0.023,0.052,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0.001,0.022,0.053,0.001,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.013,0.04,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.02,0.052,0.001,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.015,0.042,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.014,0.04,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0.001,0.022,0.05,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.021,0.058,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.02,0.054,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.023,0.054,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.014,0.039,0,0.001
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.022,0.056,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0.001,0.016,0.041,0.001,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.02,0.051,0.001,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.021,0.053,0.001,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.022,0.054,0,0
GTX 780,NoMemory,ONE_D,1,1,1,8,0,0,0.014,0.038,0.001,0
