device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,SquareArray,ONE_D,4.1943e+06,1,1,1,16,82.563,5.567,0.009,0.216,7.189,0.429
GTX 780,SquareArray,ONE_D,4.1943e+06,1,1,1,16,79.378,5.501,0.009,0.207,5.743,0.165
GTX 780,SquareArray,ONE_D,4.1943e+06,1,1,1,16,79.561,5.515,0.009,0.204,5.698,0.162
GTX 780,SquareArray,ONE_D,4.1943e+06,1,1,1,16,79.777,5.508,0.008,0.204,5.698,0.15
GTX 780,SquareArray,ONE_D,4.1943e+06,1,1,1,16,79.45,5.504,0.008,0.206,5.689,0.15
GTX 780,SquareArray,ONE_D,4.1943e+06,1,1,1,16,79.287,5.547,0.008,0.204,5.704,0.151
GTX 780,SquareArray,ONE_D,4.1943e+06,1,1,1,16,79.325,5.505,0.009,0.204,5.767,0.15
GTX 780,SquareArray,ONE_D,4.1943e+06,1,1,1,16,79.691,5.54,0.008,0.211,5.748,0.15
GTX 780,SquareArray,ONE_D,4.1943e+06,1,1,1,16,79.843,5.514,0.008,0.205,5.747,0.149
GTX 780,SquareArray,ONE_D,4.1943e+06,1,1,1,16,79.387,5.471,0.008,0.209,5.821,0.157
