device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,VectorAdd,ONE_D,5.24288e+06,1,1,1,20,207.302,14.178,0.009,0.336,9.751,0.764
GTX 780,VectorAdd,ONE_D,5.24288e+06,1,1,1,20,201.64,14.246,0.008,0.34,6.558,0.292
GTX 780,VectorAdd,ONE_D,5.24288e+06,1,1,1,20,201.496,14.301,0.009,0.336,6.58,0.286
GTX 780,VectorAdd,ONE_D,5.24288e+06,1,1,1,20,201.237,14.242,0.009,0.337,6.537,0.284
GTX 780,VectorAdd,ONE_D,5.24288e+06,1,1,1,20,201.282,14.229,0.009,0.336,6.536,0.285
GTX 780,VectorAdd,ONE_D,5.24288e+06,1,1,1,20,201.369,14.399,0.009,0.338,6.544,0.271
GTX 780,VectorAdd,ONE_D,5.24288e+06,1,1,1,20,201.821,14.26,0.008,0.337,6.614,0.258
GTX 780,VectorAdd,ONE_D,5.24288e+06,1,1,1,20,201.605,14.379,0.008,0.338,6.556,0.291
GTX 780,VectorAdd,ONE_D,5.24288e+06,1,1,1,20,201.164,14.373,0.009,0.338,6.57,0.267
GTX 780,VectorAdd,ONE_D,5.24288e+06,1,1,1,20,201.157,14.188,0.008,0.336,6.512,0.293
