device/C,kernel/C,workDimension/C,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.206,0.065,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.212,0.063,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.224,0.059,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.207,0.091,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.208,0.067,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.213,0.063,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.209,0.064,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0.001,0,0.213,0.063,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.23,0.065,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.416,0.065,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.025,0.073,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.213,0.062,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.214,0.059,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0.001,0,0.208,0.06,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.214,0.06,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.216,0.06,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.21,0.061,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.204,0.06,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.023,0.069,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0.001,0,0.213,0.06,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0.001,0,0.242,0.061,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0.001,0,0.028,0.061,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.238,0.06,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.023,0.061,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.217,0.04,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.203,0.048,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.229,0.06,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.23,0.066,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.229,0.06,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.228,0.06,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.244,0.059,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0.001,0,0.219,0.062,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.241,0.06,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.229,0.061,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.229,0.073,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0.001,0,0.213,0.062,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.21,0.072,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.218,0.043,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.366,0.06,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.221,0.046,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.247,0.06,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.208,0.06,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.209,0.078,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.211,0.061,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.213,0.063,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0.001,0,0.218,0.046,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0.001,0,0.025,0.063,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0,0.017,0.048,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.212,0.064,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0.001,0,0.21,0.059,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0.001,0,0.243,0.062,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,8,0,0.001,0.211,0.061,0.001,0
