device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,228.417,15.333,0.008,0.508,21.492,0.42
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,228.421,15.521,0.009,0.507,21.876,0.435
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,229.307,15.645,0.008,0.506,21.763,0.468
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,227.813,15.553,0.009,0.507,21.762,0.469
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,228.055,15.443,0.009,0.505,21.709,0.467
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,228.008,15.539,0.009,0.509,21.72,0.462
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,228.521,15.448,0.009,0.506,21.869,0.45
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,228.469,15.438,0.009,0.509,21.84,0.429
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,227.894,15.47,0.009,0.512,21.86,0.459
Tesla K20Xm,SquareArray,ONE_D,1.15343e+07,1,1,1,44,227.77,15.441,0.009,0.507,21.818,0.432
