device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,VectorAdd,ONE_D,8.38861e+06,1,1,1,32,332.55,22.355,0.009,0.511,15.616,0.571
Tesla K20Xm,VectorAdd,ONE_D,8.38861e+06,1,1,1,32,329.286,22.778,0.008,0.509,15.842,0.498
Tesla K20Xm,VectorAdd,ONE_D,8.38861e+06,1,1,1,32,328.348,22.806,0.009,0.51,16.465,0.489
Tesla K20Xm,VectorAdd,ONE_D,8.38861e+06,1,1,1,32,329.146,22.763,0.009,0.509,15.867,0.463
Tesla K20Xm,VectorAdd,ONE_D,8.38861e+06,1,1,1,32,328.48,22.803,0.009,0.509,15.82,0.467
Tesla K20Xm,VectorAdd,ONE_D,8.38861e+06,1,1,1,32,328.647,22.58,0.009,0.509,15.978,0.45
Tesla K20Xm,VectorAdd,ONE_D,8.38861e+06,1,1,1,32,329.547,22.746,0.009,0.511,15.94,0.455
Tesla K20Xm,VectorAdd,ONE_D,8.38861e+06,1,1,1,32,328.37,22.776,0.009,0.51,16.008,0.484
Tesla K20Xm,VectorAdd,ONE_D,8.38861e+06,1,1,1,32,328.715,22.785,0.008,0.507,15.903,0.46
Tesla K20Xm,VectorAdd,ONE_D,8.38861e+06,1,1,1,32,328.132,22.667,0.008,0.522,15.848,0.499
