device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,FWT,ONE_D,32768,1,1,1,0.534,0.002,2.634,0.313,0.041
Hawaii,FWT,ONE_D,32768,2,1,1,0.391,0.002,1.987,0.196,0.037
Hawaii,FWT,ONE_D,32768,4,1,1,0.437,0.001,1.14,0.196,0.038
Hawaii,FWT,ONE_D,32768,8,1,1,0.4,0.001,0.982,0.225,0.039
Hawaii,FWT,ONE_D,32768,16,1,1,0.437,0.001,0.595,0.321,0.037
Hawaii,FWT,ONE_D,32768,32,1,1,0.314,0.001,0.491,0.33,0.038
Hawaii,FWT,ONE_D,32768,64,1,1,0.424,0.002,0.627,0.201,0.037
Hawaii,FWT,ONE_D,32768,128,1,1,0.32,0.001,0.613,0.301,0.038
Hawaii,FWT,ONE_D,32768,256,1,1,0.328,0.001,0.444,0.337,0.065
Hawaii,FWT,ONE_D,32768,1,1,1,0.399,0.002,2.916,0.323,0.055
Hawaii,FWT,ONE_D,32768,2,1,1,0.518,0.001,2.134,0.591,0.061
Hawaii,FWT,ONE_D,32768,4,1,1,0.46,0.001,1.342,0.376,0.059
Hawaii,FWT,ONE_D,32768,8,1,1,0.466,0,1.092,0.395,0.06
Hawaii,FWT,ONE_D,32768,16,1,1,0.461,0.001,0.968,0.38,0.06
Hawaii,FWT,ONE_D,32768,32,1,1,0.459,0.001,0.821,0.369,0.06
Hawaii,FWT,ONE_D,32768,64,1,1,0.526,0,0.661,0.392,0.061
Hawaii,FWT,ONE_D,32768,128,1,1,0.455,0.001,0.746,0.384,0.062
Hawaii,FWT,ONE_D,32768,256,1,1,0.523,0.001,0.72,0.405,0.061
Hawaii,FWT,ONE_D,32768,1,1,1,0.454,0.002,2.821,0.186,0.046
Hawaii,FWT,ONE_D,32768,2,1,1,0.434,0.001,1.961,0.262,0.043
Hawaii,FWT,ONE_D,32768,4,1,1,0.386,0,1.27,0.357,0.043
Hawaii,FWT,ONE_D,32768,8,1,1,0.438,0.001,0.992,0.346,0.043
Hawaii,FWT,ONE_D,32768,16,1,1,0.434,0.001,0.802,0.218,0.043
Hawaii,FWT,ONE_D,32768,32,1,1,0.439,0.001,0.719,0.223,0.043
Hawaii,FWT,ONE_D,32768,64,1,1,0.33,0.001,0.561,0.281,0.04
Hawaii,FWT,ONE_D,32768,128,1,1,0.471,0.001,0.639,0.224,0.043
Hawaii,FWT,ONE_D,32768,256,1,1,0.441,0.001,0.598,0.335,0.069
Hawaii,FWT,ONE_D,32768,1,1,1,0.365,0.002,2.685,0.192,0.042
Hawaii,FWT,ONE_D,32768,2,1,1,0.292,0.001,1.591,0.198,0.038
Hawaii,FWT,ONE_D,32768,4,1,1,0.279,0.016,1.216,0.199,0.038
Hawaii,FWT,ONE_D,32768,8,1,1,0.282,0.002,0.816,0.248,0.038
Hawaii,FWT,ONE_D,32768,16,1,1,0.297,0.002,0.679,0.206,0.038
Hawaii,FWT,ONE_D,32768,32,1,1,0.428,0.002,0.521,0.333,0.038
Hawaii,FWT,ONE_D,32768,64,1,1,0.421,0.002,0.639,0.204,0.038
Hawaii,FWT,ONE_D,32768,128,1,1,0.394,0.002,0.627,0.204,0.037
