device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,LUDecomposition,TWO_D,2048,2048,1,1,1,32.122,0.004,3621.07,29.41,1.153
Hawaii,LUDecomposition,TWO_D,2048,2048,1,2,1,20.661,0.003,1958.02,29.076,0.735
Hawaii,LUDecomposition,TWO_D,2048,2048,1,4,1,20.318,0.004,1185.3,30.014,0.714
Hawaii,LUDecomposition,TWO_D,2048,2048,1,8,1,20.276,0.005,815.481,26.717,0.787
Hawaii,LUDecomposition,TWO_D,2048,2048,1,16,1,20.343,0.004,641.482,29.832,0.693
Hawaii,LUDecomposition,TWO_D,2048,2048,1,32,1,20.838,0.004,578.365,29.126,0.817
Hawaii,LUDecomposition,TWO_D,2048,2048,1,64,1,32.026,0.003,610.707,27.674,0.867
Hawaii,LUDecomposition,TWO_D,2048,2048,1,128,1,32.555,0.005,605.049,28.348,0.761
Hawaii,LUDecomposition,TWO_D,2048,2048,1,256,1,32.934,0.004,597.445,32.13,0.704
Hawaii,LUDecomposition,TWO_D,2048,2048,2,1,1,32.663,0.019,1953.43,27.926,0.748
Hawaii,LUDecomposition,TWO_D,2048,2048,2,2,1,32.501,0.003,1122.83,30.478,0.778
Hawaii,LUDecomposition,TWO_D,2048,2048,2,4,1,32.487,0.002,798.17,32.308,0.721
Hawaii,LUDecomposition,TWO_D,2048,2048,2,8,1,32.999,0.002,604.126,31.382,0.735
Hawaii,LUDecomposition,TWO_D,2048,2048,2,16,1,32.986,0.005,577.956,32.607,0.69
Hawaii,LUDecomposition,TWO_D,2048,2048,2,32,1,32.933,0.004,611.506,28.092,0.902
Hawaii,LUDecomposition,TWO_D,2048,2048,2,64,1,32.737,0.003,597.455,32.029,0.712
Hawaii,LUDecomposition,TWO_D,2048,2048,2,128,1,33.047,0.004,598.633,28.885,0.705
Hawaii,LUDecomposition,TWO_D,2048,2048,4,1,1,32.552,0.005,1135.7,32.759,0.743
Hawaii,LUDecomposition,TWO_D,2048,2048,4,2,1,33.166,0.003,786.95,30.563,0.7
Hawaii,LUDecomposition,TWO_D,2048,2048,4,4,1,32.408,0.003,603.879,30.415,0.72
Hawaii,LUDecomposition,TWO_D,2048,2048,4,8,1,33.239,0.004,576.175,32.405,0.702
Hawaii,LUDecomposition,TWO_D,2048,2048,4,16,1,32.389,0.003,610.619,27.845,0.771
Hawaii,LUDecomposition,TWO_D,2048,2048,4,32,1,32.908,0.003,597.612,27.785,0.763
Hawaii,LUDecomposition,TWO_D,2048,2048,4,64,1,32.422,0.003,596.161,28.292,0.77
Hawaii,LUDecomposition,TWO_D,2048,2048,8,1,1,32.85,0.004,800.599,31.079,0.711
Hawaii,LUDecomposition,TWO_D,2048,2048,8,2,1,32.46,0.003,603.475,30.976,0.708
Hawaii,LUDecomposition,TWO_D,2048,2048,8,4,1,32.691,0.003,577.786,32.764,0.692
Hawaii,LUDecomposition,TWO_D,2048,2048,8,8,1,32.483,0.003,610.333,29.253,0.896
