device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,VectorAdd,ONE_D,262144,1,1,1,12.797,0.003,5.866,0.738,1.048
Intel(R) Many Integrated Core Acceleration Card,VectorAdd,ONE_D,262144,2,1,1,2.748,0.002,15.664,0.57,0.997
Intel(R) Many Integrated Core Acceleration Card,VectorAdd,ONE_D,262144,4,1,1,2.83,0.002,20.505,0.442,0.92
Intel(R) Many Integrated Core Acceleration Card,VectorAdd,ONE_D,262144,8,1,1,2.467,0.002,14.039,0.51,0.91
Intel(R) Many Integrated Core Acceleration Card,VectorAdd,ONE_D,262144,16,1,1,2.667,0.002,14.338,0.527,1.03
Intel(R) Many Integrated Core Acceleration Card,VectorAdd,ONE_D,262144,32,1,1,2.724,0.002,11.459,0.542,0.923
Intel(R) Many Integrated Core Acceleration Card,VectorAdd,ONE_D,262144,64,1,1,3.253,0.002,12.338,0.524,0.919
Intel(R) Many Integrated Core Acceleration Card,VectorAdd,ONE_D,262144,128,1,1,3.066,0.002,9.979,0.443,0.932
Intel(R) Many Integrated Core Acceleration Card,VectorAdd,ONE_D,262144,256,1,1,2.701,0.006,10.105,0.674,0.924
Intel(R) Many Integrated Core Acceleration Card,VectorAdd,ONE_D,262144,512,1,1,2.71,0.006,14.494,0.685,0.935
Intel(R) Many Integrated Core Acceleration Card,VectorAdd,ONE_D,262144,1024,1,1,2.762,0.006,10.216,0.673,1.204
Intel(R) Many Integrated Core Acceleration Card,VectorAdd,ONE_D,262144,2048,1,1,2.763,0.005,5.523,0.695,1.326
Intel(R) Many Integrated Core Acceleration Card,VectorAdd,ONE_D,262144,4096,1,1,1.537,0.005,4.302,0.549,1.118
Intel(R) Many Integrated Core Acceleration Card,VectorAdd,ONE_D,262144,8192,1,1,3.251,0.006,2.967,0.542,1.259
