device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1,1,1,8.94,1.142,0.003,0.772,0.325,0.692
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1,2,1,8.914,0.976,0.004,1.311,0.486,0.668
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1,4,1,8.915,0.941,0.002,1.941,0.429,0.759
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1,8,1,8.907,0.957,0.003,2.885,0.606,0.944
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1,16,1,8.931,1.053,0.003,2.265,0.486,0.808
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1,32,1,8.917,0.959,0.002,3.547,0.305,0.717
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1,64,1,8.914,0.955,0.017,2.997,0.493,0.694
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1,128,1,8.915,0.925,0.003,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1,256,1,8.929,0.885,0.003,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1,512,1,9.01,0.82,0.003,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1,1024,1,8.945,0.82,0.004,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1,2048,1,8.95,0.844,0.003,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1,4096,1,8.948,0.824,0.003,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1,8192,1,8.993,0.841,0.003,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,2,1,1,8.975,0.816,0.002,0.917,0.417,0.699
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,2,2,1,8.877,0.956,0.003,0.937,0.423,0.669
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,2,4,1,8.916,0.998,0.003,1.263,0.434,0.721
