device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,4.1943e+06,1,1,1,16,82.393,7.891,0.019,36.317,5.972,1.269
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,4.1943e+06,2,1,1,16,80.97,6.01,0.005,25.225,9.237,1.168
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,4.1943e+06,4,1,1,16,79.635,8.404,0.004,18.593,8.972,1.176
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,4.1943e+06,8,1,1,16,79.547,8.382,0.004,14.274,8.909,1.178
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,4.1943e+06,16,1,1,16,79.56,8.456,0.018,14.066,5.893,1.374
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,4.1943e+06,32,1,1,16,80.725,5.875,0.005,13.641,5.911,1.331
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,4.1943e+06,64,1,1,16,80.653,5.923,0.006,11.564,9.364,1.19
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,4.1943e+06,128,1,1,16,79.479,8.437,0.003,11.338,9.049,1.137
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,4.1943e+06,256,1,1,16,79.774,8.466,0.004,11.084,5.887,1.33
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,4.1943e+06,512,1,1,16,83.746,7.962,0.007,10.786,9.363,1.284
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,4.1943e+06,1024,1,1,16,80.179,8.444,0.003,10.513,8.964,1.187
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,4.1943e+06,2048,1,1,16,79.702,8.412,0.004,10.99,8.945,1.206
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,4.1943e+06,4096,1,1,16,79.517,8.414,0.003,11.394,5.846,1.315
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,4.1943e+06,8192,1,1,16,81.022,5.857,0.02,13.576,5.888,1.361
