device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,1,1,1,128,461.384,76.701,0.203,11489.8,67.657,2.937
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,1,2,1,128,350.662,64.213,0.01,11048.3,64.566,2.764
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,1,4,1,128,353.604,64.057,0.01,10880.1,65.515,2.986
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,1,8,1,128,350.548,63.893,0.019,10747.8,64.552,2.882
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,1,16,1,128,350.499,63.81,0.01,10713.5,70.457,2.906
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,1,32,1,128,351.887,63.913,0.009,10713,59.758,2.99
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,1,64,1,128,350.957,63.997,0.023,10694.7,68.401,3.083
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,1,128,1,128,350.598,63.908,0.008,10512.1,64.534,2.972
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,1,256,1,128,350.684,63.9,0.009,10385.3,66.803,3.013
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,1,512,1,128,351.994,63.975,0.01,10187.4,65.747,2.921
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,1,1024,1,128,350.916,64.118,0.011,10023.8,69.557,2.979
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,1,2048,1,128,354.02,63.925,0.01,10306,67.875,2.994
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,1,4096,1,128,369.547,63.992,0.009,11259.3,68.906,2.888
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,1,8192,1,128,377.722,64.041,0.01,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,2,1,1,128,349.901,64.012,0.01,11039.5,62.839,3.183
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,2,2,1,128,351.967,63.986,0.01,10881.7,65.769,3.033
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,2,4,1,128,350.405,69.276,0.01,10756.9,70.631,3.166
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,2,8,1,128,350.307,63.995,0.01,10709.8,64.665,3.042
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,2,16,1,128,350.492,64.158,0.034,10700.2,65.565,2.771
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,2,32,1,128,349.808,63.926,0.024,10671.3,68.64,3.051
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,2,64,1,128,351.783,64.018,0.01,10579.9,68.482,3.111
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,2,128,1,128,351.124,64.073,0.011,10362.5,65.568,2.959
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,2,256,1,128,351.843,64.169,0.01,10190.1,65.804,2.975
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,2,512,1,128,350.734,64.022,0.023,10015.2,70.628,2.999
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,2,1024,1,128,351.235,63.982,0.009,10290.6,70.592,2.803
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,2,2048,1,128,352.489,63.992,0.009,11224.1,68.678,3.178
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,2,4096,1,128,350.429,62.269,0.01,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,4,1,1,128,359.459,64.013,0.01,10889,64.665,3.093
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,4,2,1,128,350.451,63.889,0.009,10767.6,64.716,2.923
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,4,4,1,128,350.467,65.083,0.01,10692.7,61.365,2.784
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,4,8,1,128,351.722,63.925,0.009,10722.6,65.647,3.033
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,LUDecomposition,TWO_D,4096,4096,4,16,1,128,350.821,64.095,0.009,10661.2,62.75,2.77
