device/C,kernel/C,workDimension/C,noOfTraj/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,1,1,2,116.569,0.128,0.006,161.158,0.004,1.781
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,2,1,2,116.215,0.078,0.002,146.81,0.005,2.308
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,4,1,2,152.967,0.077,0.003,134.524,0.012,2.328
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,8,1,2,152.854,0.075,0.003,124.951,0.005,2.32
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,16,1,2,153.688,0.079,0.002,125.429,0.006,2.299
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,32,1,2,154.215,0.073,0.003,125.598,0.022,2.459
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,64,1,2,153.632,0.08,0.002,130.758,0.016,2.239
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,128,1,2,153.485,0.081,0.004,127.833,0.014,2.683
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,256,1,2,154.053,0.088,0.003,131.253,0.006,2.144
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,512,1,2,154.003,0.074,0.002,134.847,0.006,2.342
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,1024,1,2,153.599,0.087,0.002,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,2048,1,2,154.071,0.049,0.002,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,4096,1,2,153.995,0.052,0.002,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,8192,1,2,154.344,0.056,0.002,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,1,1,2,154.215,0.055,0.002,141.472,0.005,2.302
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,2,1,2,153.769,0.09,0.003,134.645,0.007,2.191
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,4,1,2,153.071,0.076,0.002,132.449,0.006,2.588
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,8,1,2,153.857,0.09,0.002,129.551,0.009,2.179
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,16,1,2,153.196,0.08,0.003,127.817,0.009,2.318
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,32,1,2,153.296,0.078,0.002,128.096,0.008,2.196
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,64,1,2,154.084,0.089,0.003,128.337,0.006,2.29
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,128,1,2,154.296,0.087,0.003,136.591,0.007,2.071
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,256,1,2,153.347,0.066,0.002,135.555,0.006,2.223
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,512,1,2,153.365,0.08,0.002,138.242,0.005,2.37
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,1024,1,2,154.177,0.083,0.003,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,2048,1,2,153.976,0.047,0.002,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,4096,1,2,154.07,0.053,0.002,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,1,1,2,154.076,0.05,0.002,126.186,0.006,2.375
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,2,1,2,153.169,0.076,0.002,122.596,0.005,2.513
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,4,1,2,153.783,0.08,0.003,116.113,0.018,2.278
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,8,1,2,152.876,0.075,0.003,117.622,0.009,2.486
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,16,1,2,153.669,0.088,0.002,108.539,0.006,2.062
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,32,1,2,153.412,0.069,0.002,126.791,0.008,2.249
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,64,1,2,154.175,0.077,0.002,120.618,0.006,2.247
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,128,1,2,152.559,0.078,0.002,127.279,0.005,2.449
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,256,1,2,154.092,0.089,0.003,117.476,0.006,2.349
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,512,1,2,153.768,0.084,0.003,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,1024,1,2,153.999,0.052,0.002,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,2048,1,2,154.086,0.052,0.003,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,1,1,2,154.07,0.052,0.002,116.358,0.006,2.493
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,2,1,2,153.756,0.087,0.002,118.623,0.006,2.267
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,4,1,2,153.3,0.079,0.002,108.107,0.008,2.49
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,8,1,2,154.064,0.082,0.003,117.79,0.011,2.439
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,16,1,2,153.467,0.074,0.003,121.409,0.007,2.122
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,32,1,2,154.058,0.069,0.002,115.448,0.006,2.488
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,64,1,2,153.667,0.081,0.002,117.95,0.005,2.45
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,128,1,2,153.953,0.075,0.003,114.797,0.005,2.373
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,256,1,2,153.146,0.076,0.003,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,512,1,2,154.077,0.054,0.002,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,1024,1,2,154.102,0.056,0.002,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,1,1,2,154.309,0.053,0.002,122.156,0.005,2.085
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,2,1,2,153.505,0.072,0.003,112.803,0.014,2.28
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,4,1,2,153.977,0.074,0.002,111.321,0.008,2.106
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,8,1,2,153.575,0.082,0.002,116.746,0.006,2.352
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,16,1,2,154.141,0.083,0.003,117.48,0.019,2.494
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,32,1,2,153.41,0.069,0.002,121.172,0.007,2.348
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,64,1,2,154.053,0.079,0.003,121.983,0.005,2.671
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,128,1,2,154.207,0.084,0.002,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,256,1,2,153.999,0.054,0.002,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,512,1,2,154.075,0.054,0.002,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,32,1,1,2,154.074,0.054,0.002,113.516,0.006,2.211
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,32,2,1,2,152.777,0.077,0.002,105.689,0.01,2.22
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,32,4,1,2,153.867,0.076,0.001,121.261,0.008,2.395
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,32,8,1,2,154.413,0.074,0.002,120.292,0.012,2.2
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,32,16,1,2,153.356,0.078,0.002,117.447,0.006,2.177
