device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,1,1,1,0.5,3.145,1.247,0.004,7982.4,0,0.798
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,2,1,1,0.5,2.939,0.865,0.004,7985.57,0,0.766
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,4,1,1,0.5,3.15,0.809,0.002,8013,0.001,0.916
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,8,1,1,0.5,2.787,0.831,0.003,345.937,0.001,0.779
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,16,1,1,0.5,3.141,0.834,0.003,350.665,0,0.779
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,32,1,1,0.5,2.946,0.8,0.003,356.757,0,0.79
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,64,1,1,0.5,2.813,0.829,0.003,368.536,0,0.747
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,128,1,1,0.5,2.946,0.822,0.004,398.518,0,0.8
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,256,1,1,0.5,2.792,0.833,0.003,385.117,0.001,0.888
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,512,1,1,0.5,3.041,0.781,0.003,500.939,0,0.877
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,1024,1,1,0.5,3.05,1.133,0.003,629.896,0,0.838
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,2048,1,1,0.5,2.776,1.255,0.003,999.551,0,0.835
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,4096,1,1,0.5,2.751,0.866,0.005,1902.55,0.001,0.817
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,8192,1,1,0.5,2.747,0.708,0.003,2877.84,0,0.866
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,1,1,1,0.5,3.14,1.355,0.002,7978.17,0.001,0.777
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,2,1,1,0.5,3.14,0.876,0.002,7981,0,0.81
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,4,1,1,0.5,2.75,0.836,0.002,8005.25,0.001,0.842
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,8,1,1,0.5,2.747,0.795,0.003,344.914,0,0.812
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,16,1,1,0.5,3.138,0.789,0.003,348.267,0,0.817
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,32,1,1,0.5,3.136,0.857,0.003,355.779,0.001,0.816
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,64,1,1,0.5,2.834,0.892,0.002,368.896,0,0.796
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,128,1,1,0.5,2.754,0.889,0.002,378.869,0,0.782
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,256,1,1,0.5,2.748,0.799,0.003,382.976,0,0.822
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,512,1,1,0.5,2.943,0.761,0.003,501.474,0,0.802
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,1024,1,1,0.5,3.138,0.818,0.002,501.345,0,0.794
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,2048,1,1,0.5,3.11,0.79,0.002,991.429,0,0.841
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,4096,1,1,0.5,2.747,0.903,0.004,1936.93,0,0.796
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,8192,1,1,0.5,2.792,0.75,0.002,2880.95,0,0.824
