device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,131072,0.005,5,1,1,1,2,12.548,3.797,0.003,127511,0.001,2.023
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,131072,0.005,5,2,1,1,2,11.557,4.106,0.004,127542,0.001,1.973
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,131072,0.005,5,4,1,1,2,11.55,4.083,0.004,127680,0.001,2.005
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,131072,0.005,5,8,1,1,2,11.493,4.13,0.005,5458.23,0,2.025
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,131072,0.005,5,16,1,1,2,11.556,4.082,0.004,5472.47,0,2.075
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,131072,0.005,5,32,1,1,2,11.545,4.103,0.004,5501.4,0.001,2.01
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,131072,0.005,5,64,1,1,2,11.548,4.095,0.004,5543.5,0.001,2.077
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,131072,0.005,5,128,1,1,2,11.506,4.08,0.003,5656.63,0.001,2.032
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,131072,0.005,5,256,1,1,2,11.469,4.103,0.004,5851.5,0.001,2.069
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,131072,0.005,5,512,1,1,2,11.665,4.182,0.004,6105.41,0,1.508
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,131072,0.005,5,1024,1,1,2,11.002,4.041,0.005,6112.9,0,2.016
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,131072,0.005,5,2048,1,1,2,11.495,4.073,0.003,8014.09,0.001,2.183
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,131072,0.005,5,4096,1,1,2,11.471,4.139,0.004,8027.04,0,1.412
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,131072,0.005,5,8192,1,1,2,10.996,3.6,0.003,16012.7,0.001,2.699
