device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,1,1,1,0.5,3.297,0.556,0.004,0.496,0.273,0.655
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,2,1,1,0.5,3.318,0.55,0.003,0.336,0.15,0.571
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,4,1,1,0.5,3.296,0.491,0.004,0.489,0.293,0.625
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,8,1,1,0.5,3.313,0.614,0.004,0.458,0.255,0.631
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,16,1,1,0.5,3.296,0.514,0.004,0.508,0.216,0.632
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,32,1,1,0.5,3.308,0.552,0.003,0.505,0.252,0.646
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,64,1,1,0.5,3.299,0.567,0.005,0.46,0.226,0.613
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,128,1,1,0.5,3.312,0.558,0.003,0.462,0.199,0.628
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,256,1,1,0.5,3.296,0.547,0.004,0.403,0.24,0.62
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,512,1,1,0.5,3.315,0.553,0.003,0.378,0.183,0.62
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,1024,1,1,0.5,3.305,0.545,0.004,0.356,0.234,0.665
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,2048,1,1,0.5,3.301,0.548,0.004,0.324,0.164,0.618
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,4096,1,1,0.5,3.295,0.55,0.004,0.281,0.206,0.574
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,8192,1,1,0.5,3.381,0.515,0.003,0.351,0.295,0.631
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,1,1,1,0.5,3.299,0.549,0.003,0.467,0.287,0.63
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,2,1,1,0.5,3.298,0.532,0.003,0.385,0.229,0.619
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,4,1,1,0.5,3.305,0.485,0.003,0.389,0.28,0.635
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,8,1,1,0.5,3.296,0.528,0.004,0.452,0.256,0.611
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,16,1,1,0.5,3.303,0.5,0.003,0.437,0.27,0.61
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,32,1,1,0.5,3.302,0.529,0.003,0.557,0.269,0.642
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,64,1,1,0.5,3.31,0.588,0.003,0.406,0.264,0.618
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,128,1,1,0.5,3.299,0.524,0.003,0.455,0.204,0.632
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,256,1,1,0.5,3.312,0.506,0.003,0.475,0.194,0.64
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,512,1,1,0.5,3.298,0.545,0.003,0.376,0.253,0.629
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,1024,1,1,0.5,3.317,0.571,0.003,0.318,0.236,0.626
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,2048,1,1,0.5,3.295,0.487,0.003,0.283,0.19,0.61
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,4096,1,1,0.5,3.365,0.519,0.004,0.329,0.315,0.633
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,131072,8192,1,1,0.5,3.296,0.555,0.003,0.387,0.197,0.573
