device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,1,1,16,188.096,10.902,0.009,28254.1,15.287,3.881
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,2,1,16,211.935,13.884,0.01,17083.7,8.748,1.574
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,4,1,16,211.844,13.754,0.01,11828,9.647,1.567
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,8,1,16,209.283,13.542,0.008,10013.2,8.935,1.502
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,16,1,16,210.707,13.827,0.008,10329.7,10.239,1.384
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,32,1,16,214.624,13.741,0.009,16146.3,9.09,1.282
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,64,1,16,210.81,13.49,0.008,19851.3,10.182,1.432
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,128,1,16,212.439,13.888,0.01,21153.9,10.267,1.434
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,256,1,16,212.637,13.106,0.008,21732.1,9.559,1.278
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,512,1,16,207.002,13.618,0.008,22149.8,10.888,1.455
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,1024,1,16,193.29,12.852,0.009,22646.7,11.327,1.645
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,2048,1,16,212.259,13.739,0.007,22941.9,10.22,1.412
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,4096,1,16,212.832,13.267,0.008,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,1,8192,1,16,209.246,10.871,0.007,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,2,1,1,16,208.5,11.473,0.008,15475.3,9.992,1.61
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,2,2,1,16,216.859,13.613,0.007,9814.87,9.263,1.379
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,2,4,1,16,212.981,13.231,0.007,7026.45,9.211,1.36
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,2,8,1,16,209.625,13.583,0.008,6178.74,7.489,1.221
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,2,16,1,16,209.58,13.494,0.007,6539.49,11.109,1.439
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,2,32,1,16,212.479,13.401,0.009,9081.08,9.256,1.616
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,2,64,1,16,213.041,14.856,0.009,11080,8.753,1.331
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,2,128,1,16,209.649,13.216,0.01,12386.9,8.836,1.511
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,2,256,1,16,212.968,13.413,0.009,12263.2,8.787,1.566
Intel(R) Many Integrated Core Acceleration Card,FloydWarshall,TWO_D,2048,2048,2,512,1,16,209.271,13.419,0.009,12441.8,10.534,1.549
