device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1,1,1,64,336.376,12.838,0.01,83.568,27.745,2.44
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1,2,1,64,341.567,14.218,0.01,61.388,28.39,3.263
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1,4,1,64,413.413,14.301,0.01,51.424,26.766,3.109
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1,8,1,64,328.301,14.511,0.025,52.078,25.721,2.434
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1,16,1,64,336.449,14.298,0.01,55.435,28.475,2.728
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1,32,1,64,331.208,14.233,0.024,83.091,29.558,1.859
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1,64,1,64,331.321,14.304,0.01,83.251,28.229,2.396
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1,128,1,64,331.314,14.336,0.01,83.139,25.814,2.934
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1,256,1,64,336.822,14.212,0.01,83.607,37.265,4.195
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1,512,1,64,375.239,14.254,0.009,83.591,39.69,2.436
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1,1024,1,64,327.833,14.34,0.011,85.413,39.399,2.686
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1,2048,1,64,341.365,13.941,0.009,86.489,29.047,3.872
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1,4096,1,64,336.909,13.828,0.009,82.399,37.276,2.994
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1,8192,1,64,334.906,13.852,0.009,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2,1,1,64,331.006,11.965,0.008,58.836,39.777,2.605
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2,2,1,64,409.09,14.159,0.026,47.916,36.18,2.74
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2,4,1,64,331.145,14.225,0.027,43.786,38.057,1.735
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2,8,1,64,332.169,14.053,0.009,43.061,38.949,2.44
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2,16,1,64,331.176,14.288,0.025,45.416,46.644,2.75
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2,32,1,64,331.339,14.221,0.026,56.936,44.701,1.751
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2,64,1,64,331.143,14.174,0.011,57.129,28.883,2.437
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2,128,1,64,334.97,14.362,0.01,57.14,30.044,2.709
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2,256,1,64,331.513,14.236,0.011,56.929,25.643,4.029
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2,512,1,64,370.195,14.675,0.011,58.139,30.931,2.461
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2,1024,1,64,327.957,14.271,0.011,58.339,27.931,3.771
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2,2048,1,64,337.051,14.136,0.009,58.622,28.334,1.85
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2,4096,1,64,334.334,14.153,0.01,57.458,38.065,2.395
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,4,1,1,64,331.18,14.522,0.028,45.785,46.076,2.737
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,4,2,1,64,331.373,14.181,0.01,41.678,29.24,2.021
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,4,4,1,64,341.495,14.166,0.011,40.761,26.456,3.811
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,4,8,1,64,379.499,14.282,0.009,44.427,27.883,2.77
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,4,16,1,64,339.159,14.147,0.01,39.909,31.037,1.819
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,4,32,1,64,331.222,14.364,0.025,44.018,29.465,2.539
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,4,64,1,64,331.242,14.387,0.025,43.952,26.961,2.659
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,4,128,1,64,341.49,13.979,0.01,44.242,27.524,3.923
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,4,256,1,64,379.003,14.084,0.008,44.474,29.429,2.479
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,4,512,1,64,327.836,14.264,0.023,44.529,29.842,2.674
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,4,1024,1,64,331.243,14.315,0.025,44.787,27.988,1.754
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,4,2048,1,64,342.189,14.247,0.009,46.864,25.932,3.206
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,8,1,1,64,374.481,14.126,0.007,41.831,25.146,2.794
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,8,2,1,64,331.818,14.501,0.011,37.203,27.109,1.817
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,8,4,1,64,341.36,14.362,0.01,40.351,46.635,2.467
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,8,8,1,64,331.298,14.574,0.01,36.229,34.608,4.896
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,8,16,1,64,384.215,14.124,0.01,37.87,39.654,1.896
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,8,32,1,64,328.272,14.563,0.01,37.558,29.014,3.395
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,8,64,1,64,340.502,13.941,0.009,38.021,25.157,2.959
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,8,128,1,64,333.714,14.264,0.024,37.596,37.931,1.812
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,8,256,1,64,333.804,14.255,0.01,38.115,43.069,2.476
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,8,512,1,64,331.032,14.34,0.024,37.801,44.309,2.93
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,8,1024,1,64,342.78,14.233,0.01,38.612,29.411,3.375
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,16,1,1,64,331.158,14.272,0.011,34.427,38.725,2.489
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,16,2,1,64,331.139,14.45,0.011,55.828,29.112,3.54
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,16,4,1,64,412.167,14.09,0.009,34.837,42.28,3.391
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,16,8,1,64,327.781,14.259,0.01,46.993,30.864,3.565
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,16,16,1,64,340.07,14.137,0.009,47.363,29.698,2.869
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,16,32,1,64,336.15,14.184,0.009,34.906,43.667,3.206
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,16,64,1,64,331.238,14.32,0.023,35.222,45.982,2.658
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,16,128,1,64,335.734,14.517,0.01,34.684,24.536,3.685
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,16,256,1,64,399.693,14.126,0.009,39.133,25.272,3.525
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,16,512,1,64,346.125,14.146,0.009,35.661,29.495,2.463
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,32,1,1,64,341.528,14.202,0.009,35.453,26.363,2.898
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,32,2,1,64,339.985,14.297,0.009,46.084,27.672,3.089
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,32,4,1,64,332.586,14.428,0.011,36.919,29.063,2.532
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,32,8,1,64,332.183,14.548,0.01,48.469,29.49,3.502
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,32,16,1,64,373.278,14.028,0.009,47.242,38.116,3.403
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,32,32,1,64,339.014,13.978,0.007,38.325,21.265,2.583
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,32,64,1,64,335.665,14.408,0.01,34.284,32.334,2.753
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,32,128,1,64,331.308,14.395,0.01,34.304,36.161,1.688
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,32,256,1,64,331.313,14.421,0.01,33.255,41.335,2.455
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,64,1,1,64,331.081,14.335,0.024,54.85,27.403,2.703
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,64,2,1,64,331.251,14.511,0.01,48.744,33.878,3.881
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,64,4,1,64,384.111,14.075,0.008,43.077,43.536,2.544
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,64,8,1,64,328.882,14.387,0.011,48.067,30.092,2.778
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,64,16,1,64,333.761,14.267,0.009,42.953,42.202,3.165
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,64,32,1,64,331.082,14.298,0.025,46.909,26.657,2.513
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,64,64,1,64,341.337,14.332,0.01,44.547,28.195,2.995
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,64,128,1,64,336.905,14.322,0.01,32.781,31.012,3.321
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,128,1,1,64,332.138,14.362,0.01,47.607,26.493,2.525
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,128,2,1,64,341.366,13.961,0.01,49.21,29.887,3.169
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,128,4,1,64,340.435,13.961,0.026,48.885,24.567,1.891
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,128,8,1,64,333.917,14.336,0.011,49.233,29.519,2.509
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,128,16,1,64,331.801,14.217,0.025,54.756,26.179,2.882
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,128,32,1,64,341.524,14.802,0.01,43.683,34.183,2.564
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,128,64,1,64,360.348,14.323,0.008,43.427,38.005,3.486
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,256,1,1,64,336.35,14.21,0.009,44.009,34.511,2.796
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,256,2,1,64,336.405,14.419,0.024,47.371,38.963,3.083
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,256,4,1,64,332.092,14.43,0.01,50.17,29.379,3.28
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,256,8,1,64,340.576,14.417,0.009,43.251,28.32,2.946
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,256,16,1,64,335.991,14.494,0.01,45.219,26.366,3.146
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,256,32,1,64,333.8,15.223,0.01,44.612,30.236,2.466
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,512,1,1,64,331.119,14.344,0.01,46.831,27.377,3.655
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,512,2,1,64,391.298,14.366,0.009,47.114,28.729,3.058
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,512,4,1,64,330.847,14.295,0.025,48.11,45.124,2.634
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,512,8,1,64,335.754,14.365,0.025,48.63,38.568,2.798
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,512,16,1,64,331.013,14.546,0.009,46.719,34.55,3.967
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1024,1,1,64,387.322,14.504,0.008,48.99,26.232,2.474
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1024,2,1,64,330.859,14.292,0.01,42.869,30.873,2.709
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1024,4,1,64,331.224,14.361,0.024,41.509,28.216,1.779
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,1024,8,1,64,331.095,14.412,0.01,41.812,30.039,3.3
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2048,1,1,64,383.926,14.518,0.01,47.359,24.366,2.713
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2048,2,1,64,331.272,14.12,0.009,41.18,27.303,3.138
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,2048,4,1,64,335.654,14.552,0.009,40.254,29.017,2.315
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,4096,1,1,64,331.316,14.231,0.025,41.508,28.652,3.544
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,4096,2,1,64,383.028,14.849,0.008,39.951,28.697,1.91
Intel(R) Many Integrated Core Acceleration Card,MatrixTranspose,TWO_D,4096,4096,8192,1,1,64,328.996,14.447,0.009,-1,-1,-1
