device/C,kernel/C,workDimension/C,noOfTraj/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,1,1,1,2,119.362,4.957,0.005,373.017,0.004,4.14
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,1,2,1,2,157.286,5.429,0.004,331.291,0.005,3.507
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,1,4,1,2,155.956,4.408,0.005,317.138,0.008,3.822
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,1,8,1,2,163.009,5.492,0.005,308.151,0.008,5.011
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,1,16,1,2,162.242,4.677,0.005,312.047,0.008,4.721
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,1,32,1,2,179.29,5.479,0.004,314.911,0.008,4.42
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,1,64,1,2,158.44,4.391,0.005,330.731,0.008,3.82
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,1,128,1,2,159.641,5.602,0.005,340.819,0.012,3.723
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,1,256,1,2,164.706,4.555,0.004,389.427,0.008,4.993
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,1,512,1,2,157.991,5.468,0.005,425.549,0.008,3.634
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,1,1024,1,2,161.58,4.755,0.004,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,1,2048,1,2,159.409,5.36,0.003,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,1,4096,1,2,156.117,5.343,0.004,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,1,8192,1,2,156.605,5.374,0.003,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,2,1,1,2,155.936,4.669,0.002,332.957,0.008,3.136
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,2,2,1,2,155.996,5.502,0.005,324.03,0.01,3.699
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,2,4,1,2,178.699,5.521,0.005,316.769,0.008,3.748
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,2,8,1,2,162.679,4.67,0.005,308.244,0.008,4.724
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,2,16,1,2,163.647,5.332,0.005,312.807,0.009,3.973
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,2,32,1,2,164.432,4.622,0.004,326.717,0.009,3.752
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,2,64,1,2,164.701,5.498,0.005,338.968,0.005,4.73
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,2,128,1,2,162.83,4.384,0.004,394.597,0.014,3.864
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,2,256,1,2,159.904,5.508,0.005,462.556,0.009,4.525
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,2,512,1,2,163.519,5.645,0.004,471.975,0.009,4.686
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,2,1024,1,2,160.639,4.681,0.004,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,2,2048,1,2,156.123,4.52,0.004,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,2,4096,1,2,156.048,5.282,0.003,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,4,1,1,2,156.705,5.338,0.003,305.728,0.008,4.977
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,4,2,1,2,162.931,4.698,0.004,315.507,0.008,4.448
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,4,4,1,2,159.077,5.473,0.004,310.32,0.008,3.929
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,4,8,1,2,159.801,4.446,0.005,314.194,0.011,4.444
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,4,16,1,2,163.324,5.53,0.005,330.388,0.008,3.563
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,4,32,1,2,161.692,4.442,0.004,337.148,0.008,5.092
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,4,64,1,2,162.428,5.518,0.004,394.73,0.012,5.257
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,4,128,1,2,158.645,4.609,0.005,466.944,0.01,4.64
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,4,256,1,2,161.131,5.361,0.004,474.397,0.013,4.541
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,4,512,1,2,158.413,5.498,0.005,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,4,1024,1,2,155.434,4.995,0.004,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,4,2048,1,2,156.504,5.348,0.003,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,8,1,1,2,155.412,5.284,0.004,313.141,0.005,5.887
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,8,2,1,2,158.114,4.124,0.004,309.659,0.008,3.671
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,8,4,1,2,160.116,5.465,0.005,313.467,0.009,4.363
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,8,8,1,2,163.277,4.436,0.005,327.358,0.012,6.515
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,8,16,1,2,162.789,5.493,0.005,338.719,0.008,3.606
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,8,32,1,2,157.156,4.622,0.005,392.484,0.013,4.579
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,8,64,1,2,162.808,5.614,0.005,467.063,0.008,4.524
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,8,128,1,2,157.64,5.331,0.005,512.577,0.009,5.067
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,8,256,1,2,162.435,4.44,0.005,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,8,512,1,2,155.983,4.394,0.003,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,8,1024,1,2,155.657,5.245,0.004,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,16,1,1,2,158.914,5.504,0.005,93.207,0.008,4.329
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,16,2,1,2,159.933,5.838,0.005,89.646,0.009,3.359
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,16,4,1,2,160.586,4.369,0.004,95.243,0.007,4.041
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,16,8,1,2,163.426,4.857,0.004,93.246,0.013,4.728
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,16,16,1,2,160.594,5.46,0.004,95.8,0.013,4.32
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,16,32,1,2,162.208,4.806,0.005,105.415,0.014,4.664
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,16,64,1,2,163.678,4.309,0.004,114.537,0.008,3.966
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,16,128,1,2,160.505,5.938,0.004,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,16,256,1,2,162.024,5.307,0.003,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,16,512,1,2,156.388,5.276,0.003,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,32,1,1,2,155.94,4.295,0.003,92.496,0.012,3.968
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,32,2,1,2,160.702,4.683,0.005,92.686,0.012,4.511
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,32,4,1,2,159.54,5.508,0.004,90.582,0.013,4.014
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,32,8,1,2,159.606,5.469,0.004,95.419,0.014,5.038
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,32,16,1,2,161.795,4.895,0.004,105.269,0.012,4.582
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,32,32,1,2,158.488,4.08,0.004,111.172,0.012,4.415
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,32,64,1,2,164.667,5.713,0.004,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,32,128,1,2,157.741,5.007,0.003,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,32,256,1,2,155.767,5.32,0.003,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,64,1,1,2,155.832,4.112,0.004,91.171,0.009,3.572
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,64,2,1,2,160.749,4.821,0.004,94.49,0.012,4.188
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,64,4,1,2,163.525,5.823,0.004,95.609,0.013,4.841
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,64,8,1,2,158.71,5.428,0.004,102.767,0.013,4.099
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,1024,10,64,16,1,2,163.123,4.448,0.004,108.953,0.008,4.287
