device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,Reduction,ONE_D,4.1943e+06,1,1,1,64,353.914,52.704,0.009,17.383,37.212,1.966
Intel(R) Many Integrated Core Acceleration Card,Reduction,ONE_D,4.1943e+06,2,1,1,64,342.507,51.972,0.013,19.363,21.69,1.629
Intel(R) Many Integrated Core Acceleration Card,Reduction,ONE_D,4.1943e+06,4,1,1,64,339.813,49.757,0.01,10.083,16.716,3.369
Intel(R) Many Integrated Core Acceleration Card,Reduction,ONE_D,4.1943e+06,8,1,1,64,341.939,47.825,0.008,9.506,8.608,2.075
Intel(R) Many Integrated Core Acceleration Card,Reduction,ONE_D,4.1943e+06,16,1,1,64,341.303,48.382,0.01,14.681,4.438,2.246
Intel(R) Many Integrated Core Acceleration Card,Reduction,ONE_D,4.1943e+06,32,1,1,64,341.038,47.043,0.009,6.375,2.127,2.372
Intel(R) Many Integrated Core Acceleration Card,Reduction,ONE_D,4.1943e+06,64,1,1,64,342.871,46.752,0.009,5.557,0.623,2.007
Intel(R) Many Integrated Core Acceleration Card,Reduction,ONE_D,4.1943e+06,128,1,1,64,336.569,47.278,0.01,14.477,0.78,2.46
Intel(R) Many Integrated Core Acceleration Card,Reduction,ONE_D,4.1943e+06,256,1,1,64,341.192,46.395,0.008,11.926,0.506,1.626
Intel(R) Many Integrated Core Acceleration Card,Reduction,ONE_D,4.1943e+06,512,1,1,64,340.272,46.029,0.01,5.447,0.22,1.73
Intel(R) Many Integrated Core Acceleration Card,Reduction,ONE_D,4.1943e+06,1024,1,1,64,338.116,46.144,0.009,12.074,0.354,1.671
Intel(R) Many Integrated Core Acceleration Card,Reduction,ONE_D,4.1943e+06,2048,1,1,64,340.963,45.806,0.009,6.956,0.292,1.627
Intel(R) Many Integrated Core Acceleration Card,Reduction,ONE_D,4.1943e+06,4096,1,1,64,335.262,46.202,0.008,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,Reduction,ONE_D,4.1943e+06,8192,1,1,64,333.459,44.218,0.008,-1,-1,-1
