device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,1,1,1,16,110.818,31.611,0.007,1934.29,7.487,2.098
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,2,1,1,16,84.162,27.373,0.007,1914.16,7.364,2.247
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,4,1,1,16,84.122,28.272,0.005,1914.56,9.611,2.222
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,8,1,1,16,84.185,27.317,0.005,1910.45,9.515,2.265
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,16,1,1,16,84.228,26.911,0.006,1913.99,9.633,2.213
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,32,1,1,16,84.246,27.515,0.007,1908.92,7.723,2.349
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,64,1,1,16,84.204,28.024,0.006,1912.96,9.817,2.276
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,128,1,1,16,83.739,28.859,0.008,1912.01,7.349,2.178
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,256,1,1,16,84.112,27.771,0.006,1907.43,7.429,2.293
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,512,1,1,16,84.291,26.596,0.005,1919.63,12.842,2.234
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,1024,1,1,16,84.345,28.438,0.007,1919.09,7.444,2.008
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,2048,1,1,16,84.225,27.882,0.007,1935,7.425,2.178
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,4096,1,1,16,84.131,27.483,0.007,1960.79,7.437,2.201
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,8192,1,1,16,84.181,27.453,0.007,1990.21,7.461,2.287
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,1,1,1,16,112.924,32.718,0.008,1901.32,9.768,2.395
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,2,1,1,16,84.211,29.235,0.008,1880.92,9.859,2.291
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,4,1,1,16,84.219,29.348,0.007,1889.28,7.713,2.096
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,8,1,1,16,84.246,29.013,0.019,1879.23,9.933,2.157
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,16,1,1,16,84.328,28.087,0.007,1890.63,9.845,2.265
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,32,1,1,16,84.232,27.866,0.006,1883.73,9.676,2.297
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,64,1,1,16,84.237,28.869,0.006,1886.52,9.946,2.298
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,128,1,1,16,84.051,28.326,0.007,1885.72,7.463,2.169
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,256,1,1,16,84.147,27.689,0.007,1882.63,9.871,2.28
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,512,1,1,16,84.063,29.3,0.007,1869.16,9.877,2.242
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,1024,1,1,16,84.117,29.479,0.008,1897.4,9.969,2.928
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,2048,1,1,16,84.056,29.721,0.007,1889.96,7.362,2.156
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,4096,1,1,16,84.088,28.393,0.007,1931.65,12.762,2.354
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2048,2048,64,64,8192,1,1,16,84.15,28.176,0.008,1963.99,9.869,2.435
