device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,1,1,1,10,158.414,110.801,0.016,315.181,0.001,4.134
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,2,1,1,10,151.626,111.429,0.016,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,4,1,1,10,150.666,111.906,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,8,1,1,10,151.85,125.093,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,16,1,1,10,155.353,111.558,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,32,1,1,10,150.947,124.428,0.016,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,64,1,1,10,150.724,111.176,0.017,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,128,1,1,10,149.251,130.105,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,256,1,1,10,151.523,109.009,0.017,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,512,1,1,10,150.658,124.06,0.017,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,1024,1,1,10,150.392,123.732,0.017,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,2048,1,1,10,151.225,109.753,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,4096,1,1,10,151.107,109.683,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,8192,1,1,10,150.919,109.44,0.016,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,1,1,1,10,154.555,109.695,0.01,353.483,0.001,3.874
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,2,1,1,10,150.321,112.244,0.012,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,4,1,1,10,153.853,118.83,0.012,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,8,1,1,10,148.743,111.812,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,16,1,1,10,154.805,108.532,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,32,1,1,10,149.313,112.122,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,64,1,1,10,154.015,108.668,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,128,1,1,10,149.256,113.945,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,256,1,1,10,154.592,109.813,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,512,1,1,10,148.335,111.425,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,1024,1,1,10,153.83,108.654,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,2048,1,1,10,152.055,111.271,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,4096,1,1,10,154.612,108.591,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,10,1145,1145,3,8192,1,1,10,148.782,111.413,0.012,-1,-1,-1
