device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,1,1,1,29,305.975,43.465,0.009,2279.74,15.439,1.773
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,1,2,1,29,305.539,64.062,0.008,2225.16,12.385,2.496
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,1,4,1,29,304.208,106.05,0.008,2222.77,15.45,2.539
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,1,8,1,29,304.248,63.08,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,1,16,1,29,304.211,65.989,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,1,32,1,29,305.447,47.932,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,1,64,1,29,304.199,81.142,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,1,128,1,29,304.171,66.322,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,1,256,1,29,304.576,48.206,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,1,512,1,29,304.213,93.085,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,1,1024,1,29,306.156,48.575,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,1,2048,1,29,304.878,48.514,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,1,4096,1,29,304.206,47.398,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,1,8192,1,29,305.187,75.493,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,2,1,1,29,305.007,48.436,0.009,2272.22,15.538,1.797
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,2,2,1,29,305.188,48.133,0.009,2246.32,15.172,1.914
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,2,4,1,29,304.209,48.308,0.009,2215.44,12.24,1.855
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,2,8,1,29,304.76,62.601,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,2,16,1,29,304.201,48.84,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,2,32,1,29,305.591,48.011,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,2,64,1,29,304.195,63.849,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,2,128,1,29,304.191,49.08,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,2,256,1,29,304.186,48.937,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,2,512,1,29,304.247,48.058,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,2,1024,1,29,305.894,86.689,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,2,2048,1,29,304.14,67.606,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,2,4096,1,29,304.534,67.824,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,4,1,1,29,304.63,67.157,0.007,593.133,15.702,2.378
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,4,2,1,29,304.658,47.721,0.008,568.579,14.957,1.942
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,4,4,1,29,304.263,48.706,0.009,570.983,12.242,1.841
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,4,8,1,29,305.312,66.225,0.007,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,4,16,1,29,304.273,48.559,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,4,32,1,29,304.304,47.402,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2804,2804,2804,4,64,1,29,304.608,74.034,0.008,-1,-1,-1
