device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,1,1,1,128,668.471,65.481,0.007,27.119,63.927,2.377
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,2,1,1,128,664.185,65.505,0.008,16.002,63.655,2.332
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,4,1,1,128,663.238,65.68,0.008,12.895,77.878,2.568
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,8,1,1,128,663.367,65.981,0.008,15.336,77.165,2.509
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,16,1,1,128,662.733,65.563,0.009,14.307,77.413,2.429
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,32,1,1,128,663.094,65.817,0.008,16.507,70.208,2.309
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,64,1,1,128,663.693,65.758,0.008,16.476,69.324,2.344
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,128,1,1,128,662.94,65.826,0.008,15.063,76.501,2.448
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,256,1,1,128,663.986,67.417,0.008,16.9,69.514,2.352
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,512,1,1,128,662.845,65.696,0.008,15.65,68.939,2.202
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,1024,1,1,128,672.219,65.605,0.008,16.763,78.105,2.346
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,2048,1,1,128,663.703,65.674,0.008,14.291,76.346,2.442
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,4096,1,1,128,662.936,65.537,0.008,15.622,74.387,2.371
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,8192,1,1,128,666.429,65.771,0.008,15.25,67.721,2.397
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,1,1,1,128,684.986,65.073,0.01,29.313,70.991,3.152
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,2,1,1,128,660.545,65.605,0.009,17.326,68.724,3.194
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,4,1,1,128,660.525,65.886,0.021,13.727,77.814,3.356
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,8,1,1,128,661.868,65.34,0.01,15.244,67.367,3.219
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,16,1,1,128,660.831,62.261,0.008,15.894,65.462,3.316
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,32,1,1,128,854.423,66.639,0.009,13.696,68.19,2.402
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,64,1,1,128,664.064,65.877,0.008,16.222,68.442,2.466
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,128,1,1,128,664.303,66.676,0.009,16.247,67.028,2.553
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,256,1,1,128,663.509,66.229,0.009,15.146,71.743,2.441
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,512,1,1,128,663.735,66.569,0.01,15.747,69.316,2.423
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,1024,1,1,128,664.553,66.447,0.008,15.552,70.035,2.423
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,2048,1,1,128,663.924,66.559,0.008,15.651,76.547,2.732
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,4096,1,1,128,665.89,66.77,0.009,15.818,67.363,2.381
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,3.35544e+07,8192,1,1,128,663.365,67.378,0.008,16.52,68.009,2.466
