device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,1,1,1,2,45.439,0.062,0.002,79.506,0.004,1.912
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,1,2,1,2,43.652,0.108,0.002,66.72,0.005,2.62
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,1,4,1,2,58.237,0.126,0.002,57.922,0.006,1.963
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,1,8,1,2,57.709,0.128,0.003,52.719,0.006,1.91
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,1,16,1,2,57.38,0.126,0.002,48.864,0.006,2.003
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,1,32,1,2,57.314,0.125,0.002,50.706,0.016,2.057
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,1,64,1,2,57.391,0.131,0.003,50.922,0.006,2.072
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,1,128,1,2,57.615,0.129,0.002,49.568,0.005,2.245
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,1,256,1,2,57.808,0.128,0.003,48.727,0.006,1.532
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,1,512,1,2,57.506,0.104,0.002,55.385,0.007,2.217
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,1,1024,1,2,57.436,0.131,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,1,2048,1,2,58.675,0.071,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,1,4096,1,2,58.415,0.063,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,1,8192,1,2,58.851,0.062,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,2,1,1,2,58.59,0.061,0.002,62.496,0.006,2.088
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,2,2,1,2,57.249,0.133,0.002,55.295,0.006,2.103
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,2,4,1,2,57.675,0.13,0.003,54.324,0.006,1.987
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,2,8,1,2,57.129,0.13,0.002,51.723,0.006,1.937
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,2,16,1,2,57.884,0.127,0.003,48.397,0.014,2.076
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,2,32,1,2,58.265,0.12,0.002,50.912,0.007,2.309
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,2,64,1,2,57.359,0.13,0.002,48.007,0.006,1.392
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,2,128,1,2,57.381,0.098,0.002,52.359,0.006,1.475
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,2,256,1,2,58.035,0.09,0.002,53.379,0.006,1.597
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,2,512,1,2,57.661,0.098,0.002,49.5,0.005,1.749
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,2,1024,1,2,57.482,0.099,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,256,512,4,2,2048,1,2,58.599,0.066,0.002,-1,-1,-1
