device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,1,1,1,28,152.732,14.62,0.02,3.769,9.236,2.149
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,2,1,1,28,145.94,14.628,0.02,3.365,4.68,2.181
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,4,1,1,28,144.951,14.592,0.007,2.776,2.448,2.166
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,8,1,1,28,144.435,14.661,0.005,1.47,1.354,2.165
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,16,1,1,28,144.299,14.623,0.007,1.304,0.759,2.105
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,32,1,1,28,143.891,14.562,0.006,1.367,0.417,2.07
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,64,1,1,28,144.166,14.519,0.006,1.342,0.27,2.069
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,128,1,1,28,144.978,14.795,0.005,1.462,0.257,2.077
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,256,1,1,28,144.027,14.562,0.005,1.556,0.159,2.145
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,512,1,1,28,143.801,14.521,0.006,1.677,0.109,2.162
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,1024,1,1,28,143.68,14.626,0.007,1.842,0.088,2.044
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,2048,1,1,28,143.956,14.538,0.005,2.106,0.083,2.066
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,4096,1,1,28,143.983,14.579,0.02,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.83501e+06,8192,1,1,28,142.204,14.23,0.019,-1,-1,-1
