device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,1,1,1,10,139.435,13.142,0.009,5.323,4.091,1.85
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,2,1,1,10,136.2,12.666,0.007,4.354,7.955,1.874
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,4,1,1,10,135.851,13.104,0.007,4.234,6.551,1.883
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,8,1,1,10,136.137,12.6,0.007,3.889,6.188,1.899
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,16,1,1,10,136.261,12.986,0.006,4.173,8.094,1.891
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,32,1,1,10,137.201,13.166,0.008,3.919,7.88,2.029
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,64,1,1,10,136.804,13.087,0.008,6.075,5.594,1.824
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,128,1,1,10,136.429,12.835,0.007,4.127,8.15,1.862
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,256,1,1,10,136.562,13.191,0.008,4.209,4.171,1.857
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,512,1,1,10,135.987,12.526,0.007,3.958,4.144,1.895
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,1024,1,1,10,136.048,12.935,0.007,3.81,4.719,1.894
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,2048,1,1,10,136.607,12.989,0.007,4.339,4.477,1.87
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,4096,1,1,10,135.988,13.139,0.007,4.67,8.088,1.838
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,8192,1,1,10,136.003,13.126,0.007,3.938,7.631,1.954
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,1,1,1,10,139.116,12.434,0.008,4.098,6.851,2.339
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,2,1,1,10,134.464,12.688,0.008,4.562,5.658,2.193
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,4,1,1,10,134.692,13.42,0.009,3.916,6.405,2.063
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,8,1,1,10,134.666,13.478,0.008,3.982,5.297,1.918
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,16,1,1,10,136.621,13.738,0.008,4.314,5.056,1.935
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,32,1,1,10,135.861,12.691,0.008,6.018,6.104,2.013
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,64,1,1,10,135.212,13.41,0.007,4.436,5.476,2.194
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,128,1,1,10,134.756,13.938,0.008,3.584,5.451,2.126
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,256,1,1,10,134.813,13.524,0.007,4.159,5.116,1.942
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,512,1,1,10,134.782,13.393,0.007,4.015,5.731,2.007
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,1024,1,1,10,134.959,12.963,0.008,4.212,5.782,1.995
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,2048,1,1,10,135.137,12.942,0.007,5.615,5.962,2.378
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,4096,1,1,10,134.6,12.763,0.009,4.198,5.332,2.779
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.62144e+06,8192,1,1,10,134.418,12.657,0.007,3.531,4.505,2.469
