device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,1,1,1,5,63.185,5.352,0.007,7215.3,9.866,1.628
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,1,2,1,5,47.031,4.857,0.006,4228.56,5.371,2.043
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,1,4,1,5,54.471,4.329,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,1,8,1,5,61.93,5.59,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,1,16,1,5,59.592,4.999,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,1,32,1,5,59.705,4.384,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,1,64,1,5,60.503,4.556,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,1,128,1,5,59.701,3.61,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,1,256,1,5,58.498,3.899,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,1,512,1,5,51.837,3.466,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,1,1024,1,5,52.229,3.652,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,1,2048,1,5,51.835,3.212,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,1,4096,1,5,51.818,3.454,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,1,8192,1,5,52.223,3.535,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,2,1,1,5,52.27,3.322,0.005,3904.3,15.457,2.268
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,2,2,1,5,64.148,7.154,0.005,2439.53,8.639,2.641
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,1254,1254,2,4,1,5,62.499,6.122,0.005,-1,-1,-1
