device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,1,1,1,18,279.656,199.849,0.015,672.417,0.001,5.932
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,2,1,1,18,285.699,198.217,0.017,614,0.002,5.573
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,4,1,1,18,278.582,194.452,0.015,612.3,0.001,5.432
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,8,1,1,18,279.25,199.103,0.016,586.633,0.001,5.97
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,16,1,1,18,279.343,198.458,0.017,771.108,0.001,7.179
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,32,1,1,18,329.478,214.445,0.01,675.251,0.001,7.133
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,64,1,1,18,365.254,223.807,0.017,640.289,0.001,6.967
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,128,1,1,18,366.974,225.404,0.017,787.129,0.001,7.433
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,256,1,1,18,335.124,210.206,0.01,566.063,0,6.984
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,512,1,1,18,278.386,213.895,0.017,496.313,0,7.325
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,1024,1,1,18,275.196,215.79,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,2048,1,1,18,280.097,212.085,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,4096,1,1,18,279.479,211.042,0.017,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,8192,1,1,18,281.246,211.005,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,1,1,1,18,290.76,213.813,0.018,656.037,0.001,6.399
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,2,1,1,18,279.729,211.541,0.009,535.733,0.001,7.208
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,4,1,1,18,279.934,207.374,0.009,581.365,0.001,6.609
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,8,1,1,18,279.791,212.053,0.009,605.648,0,5.921
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,16,1,1,18,279.922,205.883,0.009,575.077,0.001,6.646
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,32,1,1,18,280.115,210.588,0.009,582.439,0,6.875
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,64,1,1,18,281.626,214.572,0.018,671.066,0.002,9.519
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,128,1,1,18,363.805,228.084,0.016,619.767,0.002,7.25
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,256,1,1,18,366.587,227.837,0.025,610.596,0.002,7.131
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,512,1,1,18,364.449,228.554,0.016,469.411,0.001,6.043
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,1024,1,1,18,364.527,228.937,0.016,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,2048,1,1,18,342.469,200.98,0.015,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,4096,1,1,18,278.679,200.02,0.015,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,18,1536,1536,3,8192,1,1,18,278.452,194.793,0.016,-1,-1,-1
