device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,1,1,1,14,98.291,9.683,0.006,22.439,18.46,1.75
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,2,1,1,14,93.358,10.373,0.007,16.954,13.692,1.604
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,4,1,1,14,100.578,16.232,0.005,14.257,9.195,1.523
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,8,1,1,14,97.323,15.928,0.006,12.282,18.894,1.505
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,16,1,1,14,95.194,10.048,0.006,21.965,10.341,1.426
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,32,1,1,14,93.055,9.748,0.007,15.017,7.908,1.326
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,64,1,1,14,93.177,9.663,0.007,10.741,6.907,1.357
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,128,1,1,14,93.118,9.706,0.007,18.291,20.323,1.454
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,256,1,1,14,94.746,9.632,0.006,15.153,14.071,1.754
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,512,1,1,14,93.384,10.09,0.007,12.153,5.012,1.45
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,1024,1,1,14,93.209,9.876,0.007,13.857,19.168,1.722
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,2048,1,1,14,93.263,9.431,0.006,22.053,5.826,1.214
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,4096,1,1,14,93.121,9.48,0.006,14.483,19.363,1.277
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,8192,1,1,14,93.028,9.605,0.006,13.559,12.517,1.464
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,1,1,1,14,75.01,9.876,0.006,21.243,10.082,1.561
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,2,1,1,14,94.705,16.541,0.008,17.156,5.912,1.815
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,4,1,1,14,78.88,9.75,0.005,14.362,20.746,2.076
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,8,1,1,14,96.461,16.099,0.007,13.432,12.73,1.77
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,16,1,1,14,95.584,11.898,0.005,23.449,4.59,1.459
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,32,1,1,14,71.823,14.593,0.005,15.355,15.162,1.488
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,64,1,1,14,71.423,14.002,0.005,17.706,9.095,1.579
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,128,1,1,14,97.91,11.607,0.006,12.16,12.11,1.549
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,256,1,1,14,72.294,14.382,0.021,15.68,10.139,1.616
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,512,1,1,14,101.159,11.486,0.006,12.345,8.225,1.677
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,1024,1,1,14,97.114,11.573,0.006,15.487,6.217,1.435
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,2048,1,1,14,76.462,14.679,0.021,10.726,8.558,1.217
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,4096,1,1,14,78.633,13.789,0.006,18.627,22.723,1.975
Intel Xeon Phi coprocessor x100 family,SquareArray,ONE_D,3.67002e+06,8192,1,1,14,99.341,11.759,0.005,22.31,11.581,1.568
