device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,2.62144e+06,1,1,1,10,110.083,7.659,0.008,17.018,14.057,1.21
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,2.62144e+06,2,1,1,10,106.615,7.667,0.025,14.593,16.757,1.361
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,2.62144e+06,4,1,1,10,102.207,6.976,0.007,11.332,3.758,1.194
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,2.62144e+06,8,1,1,10,111.207,8.856,0.009,15.403,20.675,1.864
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,2.62144e+06,16,1,1,10,142.689,9.842,0.007,9.593,4.531,1.73
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,2.62144e+06,32,1,1,10,106.907,9.119,0.005,10.251,4.56,1.375
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,2.62144e+06,64,1,1,10,112.398,6.945,0.007,9.341,5.908,1.341
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,2.62144e+06,128,1,1,10,105.666,7.497,0.006,14.456,21.919,1.867
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,2.62144e+06,256,1,1,10,139.986,10.234,0.006,10.86,3.595,2.09
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,2.62144e+06,512,1,1,10,106.649,7.697,0.007,10.277,5.324,1.489
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,2.62144e+06,1024,1,1,10,105.536,7.59,0.006,10.078,6.812,1.503
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,2.62144e+06,2048,1,1,10,110.458,8.799,0.007,12.821,7.405,1.455
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,2.62144e+06,4096,1,1,10,110.004,7.592,0.007,13.715,7.151,1.535
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,2.62144e+06,8192,1,1,10,109.839,7.582,0.023,15.391,6.633,1.447
