device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,FWT,ONE_D,8.38861e+06,1,1,1,32,166.829,11.133,0.002,442.766,15.671,0.472
Tesla K20Xm,FWT,ONE_D,8.38861e+06,2,1,1,32,163.731,11.003,0.002,221.516,15.7,0.478
Tesla K20Xm,FWT,ONE_D,8.38861e+06,4,1,1,32,163.726,10.985,0.002,111.108,15.637,0.474
Tesla K20Xm,FWT,ONE_D,8.38861e+06,8,1,1,32,165.634,11.126,0.002,56.468,15.635,0.495
Tesla K20Xm,FWT,ONE_D,8.38861e+06,16,1,1,32,163.321,10.978,0.003,28.845,15.637,0.486
Tesla K20Xm,FWT,ONE_D,8.38861e+06,32,1,1,32,163.148,10.963,0.003,15.988,15.642,0.483
Tesla K20Xm,FWT,ONE_D,8.38861e+06,64,1,1,32,163.289,10.936,0.001,10.325,15.639,0.485
Tesla K20Xm,FWT,ONE_D,8.38861e+06,128,1,1,32,163.066,10.996,0.002,8.799,15.658,0.481
Tesla K20Xm,FWT,ONE_D,8.38861e+06,256,1,1,32,164.308,11.02,0.003,8.832,15.631,0.49
Tesla K20Xm,FWT,ONE_D,8.38861e+06,512,1,1,32,163.52,11.016,0.003,9.064,15.739,0.473
Tesla K20Xm,FWT,ONE_D,8.38861e+06,1024,1,1,32,163.764,11.97,0.002,9.553,17.915,0.516
