device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,FloydWarshall,TWO_D,512,512,1,1,1,1,8.891,0.655,0.001,617.322,0.966,0.178
Tesla K20Xm,FloydWarshall,TWO_D,512,512,1,2,1,1,9.583,0.658,0.001,338.101,0.879,0.152
Tesla K20Xm,FloydWarshall,TWO_D,512,512,1,4,1,1,8.31,0.604,0.001,189.721,0.874,0.145
Tesla K20Xm,FloydWarshall,TWO_D,512,512,1,8,1,1,8.318,0.62,0.001,115.407,0.877,0.142
Tesla K20Xm,FloydWarshall,TWO_D,512,512,1,16,1,1,8.355,0.604,0.001,79.338,0.882,0.143
Tesla K20Xm,FloydWarshall,TWO_D,512,512,1,32,1,1,8.326,0.599,0,69.4,0.877,0.149
Tesla K20Xm,FloydWarshall,TWO_D,512,512,1,64,1,1,8.331,0.605,0.001,67.704,0.879,0.144
Tesla K20Xm,FloydWarshall,TWO_D,512,512,1,128,1,1,8.352,0.607,0.001,67.797,0.877,0.148
Tesla K20Xm,FloydWarshall,TWO_D,512,512,1,256,1,1,8.305,0.606,0.001,68.092,0.874,0.146
Tesla K20Xm,FloydWarshall,TWO_D,512,512,1,512,1,1,8.356,0.603,0.001,68.994,0.875,0.146
Tesla K20Xm,FloydWarshall,TWO_D,512,512,1,1024,1,1,8.348,0.601,0.001,-1,-1,-1
Tesla K20Xm,FloydWarshall,TWO_D,512,512,2,1,1,1,8.339,0.605,0.001,314.161,0.886,0.148
Tesla K20Xm,FloydWarshall,TWO_D,512,512,2,2,1,1,8.359,0.608,0.001,174.721,0.876,0.142
Tesla K20Xm,FloydWarshall,TWO_D,512,512,2,4,1,1,8.342,0.604,0.001,100.71,0.882,0.143
Tesla K20Xm,FloydWarshall,TWO_D,512,512,2,8,1,1,8.357,0.606,0.001,63.638,0.88,0.141
Tesla K20Xm,FloydWarshall,TWO_D,512,512,2,16,1,1,8.316,0.616,0.001,45.984,0.891,0.141
Tesla K20Xm,FloydWarshall,TWO_D,512,512,2,32,1,1,8.349,0.608,0.001,40.531,0.884,0.14
Tesla K20Xm,FloydWarshall,TWO_D,512,512,2,64,1,1,8.345,0.603,0.001,40.849,0.881,0.149
Tesla K20Xm,FloydWarshall,TWO_D,512,512,2,128,1,1,8.354,0.601,0.001,40.734,0.881,0.141
Tesla K20Xm,FloydWarshall,TWO_D,512,512,2,256,1,1,8.371,0.607,0.001,41.36,0.888,0.141
Tesla K20Xm,FloydWarshall,TWO_D,512,512,2,512,1,1,8.337,0.606,0.001,42.555,0.888,0.142
Tesla K20Xm,FloydWarshall,TWO_D,512,512,4,1,1,1,8.31,0.607,0.001,162.594,0.881,0.142
