device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,1,1,1,127.973,1324.52,179.541,0.004,207163,68.144,1.696
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,1,2,1,127.973,1325.13,179.597,0.003,105430,67.892,1.694
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,1,4,1,127.973,1325.94,179.613,0.004,58151,67.933,1.691
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,1,8,1,127.973,1325.46,179.883,0.004,46356.8,67.887,1.678
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,1,16,1,127.973,1324.94,180.365,0.003,43043.3,67.874,1.679
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,1,32,1,127.973,1324.81,179.531,0.005,41178.2,68.52,1.705
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,1,64,1,127.973,1325.05,179.574,0.004,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,1,128,1,127.973,1325.55,179.761,0.004,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,1,256,1,127.973,1325.52,179.53,0.004,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,1,512,1,127.973,1325.53,179.739,0.004,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,1,1024,1,127.973,1324.34,179.492,0.004,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,2,1,1,127.973,1326.14,179.523,0.005,105925,67.921,1.686
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,2,2,1,127.973,1325.33,179.509,0.003,53345,67.901,1.694
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,2,4,1,127.973,1324.36,179.55,0.003,29312.3,67.935,1.681
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,2,8,1,127.973,1326.09,179.459,0.003,23262.7,68.534,1.702
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,2,16,1,127.973,1325,179.472,0.004,21538.4,67.983,1.685
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,2,32,1,127.973,1326.09,179.42,0.003,21307.9,68.587,1.7
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,2,64,1,127.973,1325.24,179.583,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,2,128,1,127.973,1326.26,179.735,0.004,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,2,256,1,127.973,1325.41,179.456,0.003,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,2,512,1,127.973,1325.72,179.371,0.005,-1,-1,-1
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,4,1,1,127.973,1324.28,179.494,0.004,53681.6,67.902,1.681
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,4,2,1,127.973,1326.15,179.705,0.003,27320.7,67.975,1.679
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,4,4,1,127.973,1324.44,179.577,0.003,15093.1,68.004,1.701
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,4,8,1,127.973,1325.36,179.385,0.004,11750.9,68.022,1.699
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,4,16,1,127.973,1325.06,179.772,0.003,11351.3,67.973,1.682
Tesla K20Xm,MatrixMultiplication,TWO_D,5792,5792,5792,4,32,1,127.973,1326.56,179.378,0.003,11404.2,67.995,1.686
