device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,1,1,64,664.619,44.606,0.003,75224.3,31.454,1.028
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,2,1,64,665.236,44.582,0.003,37981.5,31.511,1.01
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,4,1,64,664.501,44.988,0.003,20725.3,31.623,1.048
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,8,1,64,664.809,44.645,0.003,16386.9,31.508,1.034
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,16,1,64,665.71,44.624,0.003,15206.3,31.605,1.026
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,32,1,64,665.859,44.571,0.004,14562.1,30.963,1.099
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,64,1,64,665.31,44.637,0.003,14528.2,31.526,1.019
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,128,1,64,664.862,44.61,0.003,14685.6,31.659,1.035
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,256,1,64,665.704,44.636,0.004,14818.9,31.591,1.038
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,512,1,64,665.747,44.759,0.003,15000.9,31.515,1.013
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,1024,1,64,667.294,44.659,0.003,16705.6,31.549,0.989
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,1,1,64,665.612,44.591,0.003,37954.6,31.496,1
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,2,1,64,664.746,45.035,0.004,19123.7,31.562,1.02
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,4,1,64,664.63,44.649,0.004,10359.3,31.618,1.018
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,8,1,64,664.486,44.557,0.003,8225.04,31.593,1.015
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,16,1,64,664.561,44.579,0.003,7616.62,31.499,0.982
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,32,1,64,665.963,44.56,0.003,7500.04,31.556,1.032
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,64,1,64,665.967,44.591,0.003,7604.42,31.522,1.019
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,128,1,64,664.639,44.542,0.003,7648.5,31.615,1.021
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,256,1,64,665.582,44.839,0.003,7670.15,31.58,1.036
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,512,1,64,664.597,44.57,0.003,7548.21,31.66,1.014
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,1,1,64,664.528,44.695,0.003,19173.4,31.455,0.997
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,2,1,64,665.399,44.594,0.003,9791.12,31.696,1.005
