device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,1,1,4,21.699,3.047,0.001,4.588,1.789,0.165
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,2,1,4,21.048,3.039,0.001,2.669,1.781,0.17
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,4,1,4,20.803,3.057,0.001,1.598,1.765,0.153
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,8,1,4,20.482,3.024,0.002,1.104,1.754,0.163
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,16,1,4,20.396,3.062,0.002,0.934,1.777,0.156
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,32,1,4,20.423,3.023,0.002,0.753,1.76,0.164
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,64,1,4,20.388,3,0.002,0.723,1.766,0.153
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,128,1,4,20.375,3.02,0.001,0.728,1.758,0.152
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,256,1,4,20.378,3.033,0.001,0.779,1.762,0.156
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,512,1,4,20.393,3.016,0.002,0.728,1.752,0.161
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,1024,1,4,20.367,3.019,0.002,0.497,1.756,0.153
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,1,1,4,20.372,3.042,0.001,2.473,1.761,0.156
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,2,1,4,20.373,3.009,0.002,1.606,1.764,0.155
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,4,1,4,20.735,3.012,0.001,0.986,1.747,0.162
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,8,1,4,20.37,3.023,0.002,0.757,1.749,0.152
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,16,1,4,20.463,3.167,0.002,0.626,1.762,0.155
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,32,1,4,20.369,3.024,0.002,0.612,1.749,0.162
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,64,1,4,20.363,3.021,0.001,0.55,1.757,0.161
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,128,1,4,20.369,3.021,0.001,0.576,1.76,0.152
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,256,1,4,20.38,3.028,0.001,0.573,1.759,0.152
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,512,1,4,20.365,3.024,0.001,0.641,1.766,0.163
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,4,1,1,4,20.372,3.012,0.001,1.403,1.756,0.163
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,4,2,1,4,20.372,3.023,0.001,0.975,1.754,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,4,4,1,4,20.381,3.023,0.001,0.685,1.763,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,4,8,1,4,20.371,3.021,0.001,0.632,1.761,0.161
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,4,16,1,4,20.364,3.019,0.001,0.484,1.766,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,4,32,1,4,20.364,3.031,0.002,0.488,1.758,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,4,64,1,4,20.386,3.001,0.002,0.522,1.757,0.16
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,4,128,1,4,20.365,3.012,0.001,0.492,1.758,0.158
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,4,256,1,4,20.363,3.122,0.002,0.483,1.744,0.156
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,8,1,1,4,20.41,3.023,0.002,0.916,1.757,0.175
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,8,2,1,4,20.402,3.027,0.002,0.744,1.753,0.163
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,8,4,1,4,20.367,3.02,0.002,0.555,1.752,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,8,8,1,4,20.365,3.015,0.001,0.461,1.753,0.153
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,8,16,1,4,20.376,3.01,0.001,0.517,1.756,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,8,32,1,4,20.372,3.021,0.001,0.445,1.756,0.161
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,8,64,1,4,20.368,3.01,0.001,0.463,1.754,0.158
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,8,128,1,4,20.372,3.02,0.002,0.452,1.748,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,16,1,1,4,20.378,3.015,0.002,0.716,1.749,0.162
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,16,2,1,4,20.375,3.039,0.001,0.553,1.753,0.155
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,16,4,1,4,20.641,3.052,0.001,0.484,1.758,0.155
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,16,8,1,4,20.379,3.06,0.002,1.201,1.762,0.152
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,16,16,1,4,20.463,3.053,0.002,0.51,1.775,0.162
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,16,32,1,4,20.443,3.025,0.002,0.467,1.73,0.151
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,16,64,1,4,19.752,3.013,0.001,0.462,1.735,0.151
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,32,1,1,4,19.74,2.994,0.002,0.588,1.733,0.158
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,32,2,1,4,19.745,2.994,0.002,0.445,1.742,0.151
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,32,4,1,4,19.729,3.018,0.001,0.428,1.736,0.148
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,32,8,1,4,19.726,2.999,0.002,0.477,1.731,0.156
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,32,16,1,4,19.739,3.009,0.001,0.201,1.737,0.148
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,32,32,1,4,19.781,3.014,0.002,0.454,1.733,0.151
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,64,1,1,4,19.739,2.993,0.002,0.522,1.726,0.157
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,64,2,1,4,19.739,2.997,0.001,0.438,1.733,0.148
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,64,4,1,4,19.738,3.004,0.002,0.449,1.725,0.16
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,64,8,1,4,19.842,3.01,0.002,0.49,1.735,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,64,16,1,4,19.744,2.98,0.001,0.429,1.725,0.148
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,128,1,1,4,19.754,3.002,0.001,0.428,1.746,0.15
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,128,2,1,4,19.733,2.998,0.002,0.482,1.728,0.157
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,128,4,1,4,19.775,3.007,0.002,0.451,1.745,0.147
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,128,8,1,4,19.745,3.009,0.002,0.451,1.727,0.149
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,256,1,1,4,19.731,3.006,0.001,0.478,1.733,0.153
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,256,2,1,4,19.745,3.017,0.001,0.428,1.724,0.15
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,256,4,1,4,20.215,3.034,0.001,0.437,1.824,0.155
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,512,1,1,4,22.41,3.215,0.002,0.452,1.927,0.164
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,512,2,1,4,21.274,3.002,0.001,0.484,1.742,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1024,1,1,4,19.735,3.004,0.001,0.437,1.734,0.149
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,1,1,4,19.776,3.003,0.002,4.568,1.339,0.151
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,2,1,4,19.926,3.009,0.001,2.44,1.723,0.162
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,4,1,4,19.766,3.002,0.002,1.61,1.723,0.149
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,8,1,4,19.775,3.01,0.001,1.106,1.725,0.151
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,16,1,4,19.764,3.035,0.001,0.906,1.718,0.151
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,32,1,4,19.784,2.992,0.001,0.752,1.727,0.158
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,64,1,4,19.776,3.002,0.001,0.745,1.711,0.157
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,128,1,4,19.774,2.992,0.001,0.879,1.716,0.15
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,256,1,4,19.774,3.031,0.001,0.748,1.715,0.16
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,512,1,4,19.773,3.004,0.002,0.724,1.731,0.149
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,1,1024,1,4,19.782,2.993,0.002,0.827,1.715,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,1,1,4,19.765,3.002,0.001,2.512,1.711,0.165
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,2,1,4,19.884,3,0.001,1.532,1.721,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,4,1,4,19.78,3.01,0.002,1.005,1.722,0.156
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,8,1,4,19.77,3.013,0.001,0.786,1.724,0.149
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,16,1,4,19.78,2.988,0.001,0.638,1.719,0.161
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,32,1,4,19.799,3.003,0.002,0.556,1.725,0.156
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,64,1,4,19.782,3.007,0.002,0.626,1.721,0.147
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,128,1,4,19.767,3.011,0.002,0.55,1.719,0.158
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,256,1,4,19.778,2.991,0.001,0.555,1.72,0.147
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,2,512,1,4,19.808,3.023,0.002,0.681,1.721,0.157
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,4,1,1,4,19.784,3.007,0.001,1.426,1.729,0.158
Tesla K20Xm,MatrixTranspose,TWO_D,1024,1024,4,2,1,4,19.85,2.999,0.001,0.974,1.719,0.151
